,long,lat
13023,5.1069005,52.0637633
10274,5.1041077,52.0638395
13047,5.1040313,52.0642744
13056,5.1071809,52.0644237
9832,5.1044248,52.064597
9826,5.1054134,52.0652268
7511,5.107756,52.0653551
1023,5.107205,52.0654066
13105,5.1071997,52.065517
13114,5.1062696,52.0657691
2330,5.1235447,52.0611976
12953,5.123644,52.0612068
12955,5.1223911,52.0613345
21302,5.1229491,52.0627932
21301,5.1229717,52.062821
21299,5.1230783,52.0628297
21300,5.1230378,52.0628407
25371,5.122439,52.0639047
25372,5.1224468,52.063921
21304,5.1230661,52.0642237
12957,5.1198767,52.0614002
25365,5.1186555,52.061509
25366,5.1186263,52.0615148
25367,5.1200996,52.0618987
25368,5.1193483,52.0630828
25369,5.1193592,52.0631008
13010,5.1183075,52.0633853
13017,5.1185777,52.0635521
25370,5.1197346,52.0639222
3501,5.1202812,52.0644425
25362,5.1213748,52.0626493
12983,5.1210141,52.0627286
12987,5.1203965,52.0629268
12990,5.120963,52.0629771
22521,5.1214974,52.0631813
21297,5.1216352,52.063215
21296,5.1214317,52.0632491
13004,5.1214079,52.0632532
21298,5.1215111,52.0632571
13006,5.1206627,52.0632938
21295,5.1210381,52.0633156
21294,5.1210042,52.0634884
21292,5.1213211,52.0634896
13013,5.1211815,52.0635055
21293,5.1212239,52.0635157
25420,5.1218177,52.064153
25419,5.1218101,52.0641562
13039,5.1217289,52.0641678
13042,5.1214208,52.0642257
25421,5.1213498,52.0642377
13045,5.121177,52.0642674
13053,5.1209766,52.0643452
3502,5.1207459,52.064384
4526,5.1208754,52.0646546
3503,5.1204136,52.0647684
13077,5.1203269,52.0649954
16907,5.1215673,52.0652806
16909,5.1218194,52.0653775
10933,5.1219061,52.0654694
13106,5.1219111,52.065477
22526,5.1246316,52.0640521
13036,5.1252211,52.0641254
13037,5.1251336,52.0641314
13049,5.1249924,52.0643459
13051,5.125068,52.0643729
17498,5.1258462,52.0651669
17497,5.125415,52.0652324
13109,5.1255042,52.0656068
20823,5.1253037,52.0656654
25393,5.1249016,52.0657933
13044,5.1231487,52.0642642
21303,5.1231085,52.0642832
2329,5.1241463,52.0643578
13054,5.1242465,52.0643875
2332,5.1223967,52.0652417
13094,5.1232572,52.0653134
13096,5.1237412,52.0653277
13130,5.1221265,52.0661273
13152,5.1222018,52.066551
25389,5.1241338,52.0666661
10934,5.1219249,52.0654868
16908,5.1216904,52.0656216
18210,5.120676,52.0658171
11201,5.1206521,52.0658487
13124,5.1206068,52.0659752
13126,5.1214231,52.0660509
13131,5.122033,52.0661597
13135,5.121693,52.0662718
25357,5.1211173,52.066306
25356,5.121024,52.0663228
10216,5.1182958,52.0651818
25374,5.1193967,52.0655438
22523,5.1195967,52.0660382
1545,5.1196001,52.0664887
3505,5.1202153,52.0665526
1793,5.120248,52.0665797
9931,5.1186822,52.0665974
1795,5.1202846,52.0666665
1796,5.1202846,52.0666665
13162,5.1200589,52.0667277
25358,5.1211287,52.0663252
13138,5.1221214,52.066336
1787,5.121714,52.0663403
13140,5.1212268,52.0663626
1797,5.1215272,52.0663767
1800,5.1213621,52.0663978
13142,5.1210126,52.066405
3691,5.1211715,52.0664285
13146,5.1207712,52.0664616
1788,5.120844,52.0664633
12985,5.0971172,52.0628889
13001,5.0970256,52.0632294
13012,5.0967807,52.0634458
13021,5.0995161,52.0637135
10511,5.0978102,52.0637715
10512,5.097842,52.0637826
13038,5.0969846,52.0641273
25498,5.0970112,52.0641405
25497,5.0970546,52.0641568
10311,5.0988138,52.0642428
10483,5.099909,52.0644814
10484,5.0999385,52.0644907
10480,5.1006014,52.0644954
10485,5.0999666,52.0645
10482,5.1005871,52.0645129
13060,5.0999241,52.0645144
9851,5.1023894,52.0645213
10486,5.1000821,52.0645432
10487,5.1001065,52.0645527
10488,5.100136,52.064562
13052,5.0975081,52.0643858
25505,5.0974621,52.0644078
25504,5.0980091,52.0644905
25503,5.098045,52.0645044
13061,5.0989728,52.0645342
25506,5.0973357,52.0645456
13070,5.0973196,52.06456
25547,5.0991533,52.0653522
25546,5.0991818,52.0653617
25501,5.0969037,52.0653788
20770,5.0949208,52.0648014
24998,5.0955148,52.0648775
216,5.0955418,52.064885
11184,5.0954825,52.0649381
11169,5.0947753,52.0651732
11185,5.0944615,52.065281
25500,5.0965471,52.0654612
25499,5.0965792,52.0654722
11186,5.0944321,52.0656976
25492,5.0958156,52.0661828
25502,5.0968857,52.0653928
13102,5.0993028,52.0654444
13103,5.0980942,52.065461
25552,5.0993466,52.0654992
25551,5.0992707,52.06558
9841,5.099389,52.065775
13115,5.0977878,52.0657858
10514,5.0975474,52.0660376
9849,5.0993645,52.0660423
10513,5.0975355,52.066055
3549,5.0977731,52.0663137
13137,5.0973448,52.0663338
13144,5.097799,52.0664514
13145,5.0972585,52.066453
9845,5.0981722,52.0664674
9839,5.0992719,52.0664696
9840,5.099358,52.0664854
11776,5.0984084,52.0665589
13153,5.0976796,52.0665693
13158,5.0970158,52.0666194
11170,5.0941079,52.0658233
11171,5.0940837,52.0658499
11187,5.0941341,52.0660914
11172,5.0940894,52.0661444
25005,5.094232,52.0662605
187,5.0942603,52.06627
24999,5.0937302,52.0666151
25000,5.0937061,52.0666391
25004,5.0927933,52.0671359
13196,5.0924179,52.0674797
9836,5.0993391,52.0666339
11778,5.0986831,52.0666566
13159,5.0984111,52.0666659
13161,5.0980609,52.0667048
9835,5.099267,52.0667117
11777,5.0988897,52.0667145
13164,5.0986381,52.0667443
287,5.0993273,52.0667454
11775,5.0990599,52.0667925
13166,5.0988419,52.0668124
13139,5.0948975,52.0663572
25494,5.0959302,52.0667264
25493,5.0959699,52.0667392
25496,5.0949068,52.066803
25495,5.0949342,52.0668122
25550,5.0966018,52.0668583
13184,5.0962542,52.0671829
9848,5.0946444,52.067297
9827,5.095666,52.0673479
24875,5.096549,52.0679751
13171,5.0992796,52.0669251
13172,5.0987011,52.0669291
13189,5.0991779,52.0673296
24872,5.0970829,52.067439
24873,5.0970659,52.0674535
13198,5.0968748,52.0676667
24874,5.0968565,52.06768
25592,5.0991646,52.0678745
13210,5.097573,52.0678764
25593,5.0991325,52.0679093
24376,5.1145628,52.0606753
24375,5.1145935,52.0606805
10227,5.1149159,52.0607144
25201,5.1162012,52.0607472
25202,5.1161692,52.0607519
2505,5.1164889,52.0614019
19610,5.1163121,52.0632614
13007,5.1159251,52.0633102
10228,5.1146587,52.0634715
10229,5.1147654,52.0634758
10235,5.117866,52.0609418
12950,5.117835,52.0609471
10232,5.1177512,52.0609759
25373,5.1176349,52.061589
12978,5.1169451,52.0624663
2504,5.1170095,52.0625206
2503,5.1181193,52.0631483
25360,5.1173331,52.0631785
25359,5.1173416,52.0631959
25361,5.1181575,52.0632118
24379,5.1134559,52.0607206
24383,5.1126085,52.0611059
18876,5.1136222,52.062499
12994,5.1124863,52.0630399
12996,5.1124899,52.0630779
13071,5.1122453,52.0647567
26492,5.1139736,52.0649185
26491,5.1137733,52.0656244
26490,5.113568,52.0657534
26489,5.1135797,52.0657699
5862,5.117187,52.0633677
10214,5.1178833,52.0642737
10219,5.1178541,52.064278
10215,5.1178294,52.0642831
5863,5.1173093,52.0648245
2506,5.1182383,52.0651184
13086,5.1182044,52.0651811
10218,5.1182731,52.0651831
10217,5.1182495,52.0651881
13122,5.1172567,52.0659437
13014,5.1162029,52.0635199
13016,5.1153784,52.0635398
13019,5.1156765,52.063598
13020,5.1163594,52.063688
13026,5.1155595,52.0638244
13063,5.1144983,52.0645401
13078,5.1147336,52.0650111
13099,5.1149576,52.0654302
13136,5.1154444,52.0662803
10223,5.1165014,52.0662927
2507,5.1165123,52.0663151
434,5.114832,52.0663256
26486,5.1147999,52.0663335
26487,5.1146853,52.0663939
26488,5.114657,52.0664026
13151,5.1155984,52.0665256
13168,5.1148926,52.0668398
13178,5.1144812,52.0670285
21287,5.1162588,52.0671468
13186,5.1145072,52.0672325
13179,5.1167298,52.0670607
21291,5.1167431,52.0670798
13180,5.1176727,52.0670946
21286,5.1170614,52.0671242
13181,5.1170317,52.0671439
13187,5.1168035,52.0672523
13194,5.1178525,52.0674364
21285,5.1172473,52.0674559
21288,5.1167143,52.0674593
13202,5.1168467,52.0676612
13163,5.1198566,52.0667297
13188,5.1193205,52.067286
1679,5.1192559,52.0672892
21305,5.1183787,52.0684555
13231,5.118347,52.0684667
21306,5.1183268,52.0684682
9924,5.1201789,52.0688109
13246,5.1185713,52.0688323
21313,5.1183112,52.0688915
13250,5.1182956,52.068922
13200,5.1165566,52.0675722
21289,5.1165257,52.0675834
13207,5.1145233,52.0677769
21290,5.1164446,52.0679647
456,5.1162028,52.0687921
445,5.1161922,52.0693022
13262,5.1162174,52.0693136
446,5.1152039,52.0695057
13268,5.115167,52.0695269
22432,5.1155439,52.0695601
9933,5.116988,52.0679173
1682,5.11664,52.0679309
21307,5.1181235,52.0685593
9932,5.1177912,52.0686795
25869,5.1181782,52.0691692
9926,5.1174542,52.0694312
452,5.1166375,52.0704713
13301,5.1166571,52.0705548
25875,5.1179905,52.0706185
25876,5.1180212,52.0706283
10489,5.100164,52.0645713
13066,5.1001347,52.0645809
10490,5.1002886,52.0646151
10491,5.100313,52.0646245
10492,5.1003425,52.0646338
10493,5.1003706,52.0646431
25536,5.1025649,52.0647682
10500,5.1003064,52.0647688
25537,5.1025979,52.0647778
25538,5.1025904,52.0652779
25539,5.102638,52.0652919
13095,5.1007696,52.0653272
25541,5.1027908,52.0653478
23340,5.1019703,52.065357
25540,5.1028399,52.0653638
23341,5.1019958,52.0653675
25545,5.1024234,52.0659022
13120,5.1019325,52.065925
25544,5.1023895,52.0660286
24511,5.1025086,52.0660787
13116,5.1035482,52.0657928
13118,5.1033996,52.0659131
218,5.1033784,52.0659453
11173,5.103343,52.0659737
11174,5.1033317,52.065989
11175,5.1033164,52.0660041
11176,5.10329,52.0660324
11177,5.1032741,52.0660483
11178,5.1032601,52.0660619
25532,5.1032922,52.0661611
13132,5.1014912,52.0662051
25535,5.1015967,52.0662304
13141,5.1031692,52.0663717
13143,5.0997475,52.0664319
13148,5.1029187,52.0664827
13155,5.0998757,52.0666026
25549,5.0998777,52.0666168
25548,5.0999078,52.0666296
25543,5.1012293,52.0669778
25542,5.1012576,52.0669876
13147,5.1133617,52.0664663
20865,5.1117918,52.0664919
13150,5.1139067,52.0665242
20699,5.1117659,52.0665544
23021,5.113479,52.0665943
436,5.1125674,52.0666403
435,5.1125438,52.0667239
1010,5.1128832,52.0668069
1011,5.1128946,52.0668069
13173,5.1126694,52.0669385
228,5.1032949,52.0662753
10494,5.1034302,52.0663447
25534,5.1033365,52.0663747
25533,5.1032752,52.0663814
7528,5.1058748,52.0667593
25553,5.1061926,52.0669241
13183,5.10324,52.0671773
13193,5.1069865,52.0674126
13217,5.1074501,52.068073
21596,5.1076799,52.0684025
13190,5.0999002,52.0673386
25590,5.0997975,52.0676113
25589,5.0998437,52.0676286
13204,5.1028255,52.0676814
13206,5.1009649,52.0677099
25597,5.1000059,52.0678339
25596,5.1000324,52.0678438
13219,5.1010264,52.0681924
25599,5.1004012,52.0682728
25598,5.1001564,52.0683656
13236,5.102351,52.0685989
13242,5.1030051,52.0687995
25567,5.103033,52.0688008
13243,5.1021514,52.0688048
25566,5.1030217,52.0688053
25565,5.1030106,52.0688092
25564,5.1030005,52.0688121
25563,5.1029873,52.0688142
25562,5.1029745,52.068815
24847,5.1030847,52.0689547
13235,5.1070239,52.0685858
13238,5.1032872,52.0686277
25560,5.1060365,52.0686364
25559,5.1062935,52.068672
36,5.1058067,52.0687094
13241,5.1072628,52.0687979
13245,5.1064157,52.0688245
13244,5.1038712,52.0688245
13248,5.1051143,52.0689072
25561,5.1057729,52.0689764
23,5.1133419,52.0677114
13227,5.1123647,52.0682741
13234,5.1132962,52.0685814
22434,5.1132667,52.0689979
22429,5.112045,52.0690611
13285,5.1118494,52.0700111
481,5.1128166,52.0700965
20234,5.1131009,52.0704541
441,5.1115949,52.0704563
9902,5.1135703,52.0704697
24906,5.0931704,52.0691484
217,5.0930403,52.0693047
24905,5.0929864,52.0693113
24904,5.0930109,52.0693194
25574,5.094149,52.0697667
13282,5.0922848,52.0699353
13289,5.0921005,52.0701629
25577,5.0936387,52.0704526
25576,5.0935882,52.0705039
25575,5.0935585,52.0705332
25637,5.0950997,52.0696815
25636,5.0950738,52.0697122
25640,5.0961717,52.0698841
25641,5.0961943,52.0698911
25573,5.0959916,52.0703491
13302,5.0956934,52.0705909
13306,5.0956572,52.070594
7640,5.0955027,52.0706501
7639,5.0954568,52.0706961
25652,5.0955426,52.0708043
25618,5.0979287,52.0700218
25617,5.0978613,52.0700946
25643,5.0971421,52.0701121
13284,5.0978346,52.0701232
25645,5.0971074,52.0701262
25642,5.0971576,52.070149
25644,5.0971322,52.0701494
25616,5.0977677,52.0702509
25609,5.097811,52.0702761
25610,5.0981355,52.0705309
7638,5.095319,52.0708463
7634,5.0951844,52.0708602
13311,5.0955693,52.0708613
7637,5.0952843,52.0708811
13313,5.0957739,52.0709243
13321,5.0953826,52.0709346
13315,5.0953687,52.0709405
25649,5.0953851,52.0709771
25648,5.0954167,52.0709866
25651,5.0953719,52.0709918
25611,5.0981228,52.070546
25612,5.0983605,52.0705576
25613,5.0983459,52.0705741
25615,5.0981591,52.0706286
25614,5.0981822,52.0706364
25604,5.0973347,52.0706663
25605,5.0973555,52.0706831
25607,5.0972866,52.0707399
25606,5.0973168,52.0707498
25621,5.0974795,52.0713255
25647,5.095445,52.0709939
25650,5.0954006,52.071002
25646,5.0954294,52.071013
190,5.0954655,52.0710249
18236,5.0948959,52.0711786
25658,5.0966561,52.0713806
25657,5.0966113,52.0714942
13339,5.09498,52.0715618
25572,5.0946814,52.0717122
13346,5.09458,52.0717931
13325,5.099667,52.0710952
13326,5.1024048,52.0711533
13332,5.1018349,52.0713237
9142,5.1017986,52.0713383
9143,5.1021915,52.0713862
5457,5.1012393,52.071402
13335,5.1025487,52.0714499
13338,5.1002312,52.0715108
13349,5.0998282,52.0718885
21849,5.1024324,52.0719033
25659,5.0967051,52.0713275
25654,5.096757,52.0713823
25653,5.0967782,52.0713899
25655,5.0967296,52.0714213
25656,5.0967457,52.0715412
25623,5.0980138,52.0717873
25622,5.0980417,52.0717963
13373,5.0994525,52.0725456
13376,5.0980715,52.0725902
221,5.097084,52.0727096
9144,5.1008228,52.0721906
9145,5.1008558,52.0721906
20583,5.100892,52.0722032
20584,5.1009255,52.0722156
13362,5.1011251,52.0722206
20585,5.1009604,52.0722275
13363,5.0997463,52.0722278
20586,5.101,52.0722419
20587,5.1010335,52.0722551
20588,5.1010697,52.0722675
25631,5.0956902,52.0721645
25630,5.0957166,52.0721717
25633,5.0961953,52.0722533
25632,5.0962238,52.0722624
7636,5.094877,52.0723494
10964,5.0953218,52.0730716
13407,5.0952275,52.0737533
8844,5.0950174,52.0737769
13410,5.095536,52.0738579
13413,5.094986,52.0739494
25629,5.1006219,52.0689611
25628,5.100653,52.0689727
22872,5.1025686,52.0690786
25627,5.1004832,52.0691229
25626,5.1005096,52.0691315
24848,5.1030479,52.0691362
13257,5.100157,52.0691382
24849,5.1030224,52.0691623
24850,5.102996,52.0691762
13275,5.1007369,52.0696763
13259,5.1048403,52.0691778
13264,5.1045828,52.06946
13269,5.1070646,52.0695459
19118,5.1040165,52.0695643
13270,5.1044721,52.0695941
25555,5.105056,52.0696525
25554,5.1050956,52.0696644
25557,5.1045509,52.0696995
25556,5.1045297,52.0697189
25558,5.104865,52.0697806
13177,5.1087527,52.0670235
5677,5.1087099,52.067229
9940,5.1080509,52.0686111
7351,5.1095087,52.0690146
163,5.1104658,52.0701376
442,5.1114091,52.071119
460,5.1111261,52.0723215
13386,5.1112015,52.0727521
483,5.1110834,52.0728658
484,5.1111018,52.072918
13283,5.099907,52.0697788
3030,5.1025396,52.0698531
13287,5.1031151,52.0701494
13290,5.1030391,52.0701776
13291,5.1025234,52.0702301
13293,5.1029935,52.0703091
13303,5.1021905,52.0706017
13309,5.1008531,52.0708137
13316,5.1018198,52.070949
13318,5.1012897,52.0709669
13278,5.10365,52.0698312
13279,5.1068401,52.0698332
13280,5.1035555,52.0698538
13294,5.1037012,52.0703453
13304,5.1034212,52.0706475
13314,5.1033416,52.0709352
13322,5.1067063,52.0710248
13324,5.104559,52.0710768
13330,5.1034096,52.07125
13336,5.1042416,52.0714598
13342,5.1033248,52.0715814
13345,5.1041424,52.0717634
13347,5.1049362,52.0718648
13351,5.1064701,52.0719439
21845,5.1049574,52.0722665
21846,5.1049405,52.0724456
21848,5.1047551,52.0725813
21847,5.1047862,52.0725836
13375,5.1037561,52.0725848
13379,5.1047225,52.0726023
20589,5.1011046,52.0722803
13368,5.1022945,52.0724437
9146,5.099991,52.0724546
13370,5.0999294,52.0724775
21850,5.1029759,52.0725154
13372,5.1030359,52.0725212
9147,5.099787,52.0726636
1303,5.1016162,52.0726763
1035,5.1016216,52.0726796
1037,5.1010276,52.0734838
475,5.1140604,52.0718687
13348,5.113913,52.0718723
13364,5.1139466,52.0722598
4892,5.1136554,52.0729121
23651,5.1121868,52.0730324
9864,5.1142026,52.0739324
9873,5.1116219,52.0739585
23558,5.1120722,52.0740985
13421,5.1140752,52.0741236
23652,5.1128754,52.0741246
461,5.1108885,52.073174
3028,5.1114825,52.0741014
459,5.1105526,52.0741933
458,5.1105476,52.0742158
23654,5.1108031,52.0742829
23557,5.1114294,52.0742997
23653,5.1107975,52.0743049
23555,5.1114115,52.0743136
23556,5.1113936,52.0743246
19613,5.110704,52.0745444
13396,5.1061732,52.0730815
21793,5.1039336,52.0747258
240,5.1046762,52.0748877
21794,5.1043792,52.0748905
21795,5.1043269,52.0748905
21792,5.1044014,52.074891
10665,5.1073913,52.0755795
7353,5.1076387,52.0757559
13526,5.106425,52.0764904
13536,5.106783,52.0767892
12008,5.093959,52.063137
411,5.0939123,52.0631554
4605,5.0960385,52.050789
4606,5.0961401,52.0514353
13025,5.0958076,52.0638196
11181,5.095816,52.0641432
13050,5.0953153,52.0643654
11182,5.0949548,52.0647688
11183,5.0953829,52.0647924
5757,5.0966984,52.050212
388,5.0971706,52.0516108
17134,5.0970171,52.0574856
10312,5.09887,52.0611851
1038,5.0991439,52.0612549
1039,5.0991518,52.0612554
1331,5.0991571,52.0612554
12971,5.0975109,52.0621466
11180,5.0968457,52.0627132
375,5.0903566,52.0543784
26426,5.090246,52.0557427
26425,5.0899857,52.0558902
16795,5.0897966,52.0643825
1055,5.0894435,52.0651411
9566,5.0817219,52.0503663
1126,5.0819201,52.0520891
11458,5.0821678,52.0532977
11457,5.0820207,52.0533043
9564,5.0820042,52.0533329
1125,5.0856016,52.0509571
5758,5.0849665,52.051745
11455,5.0825553,52.0533374
677,5.0824079,52.0533396
16793,5.0827222,52.0651605
16794,5.082713,52.0651667
6006,5.0727405,52.0538133
6007,5.0727085,52.0538194
6008,5.0725848,52.053843
378,5.0720669,52.0580832
6005,5.0878587,52.0518366
16560,5.0886253,52.0538891
17362,5.0874865,52.0542229
1061,5.0873741,52.062754
1063,5.0871959,52.06323
1062,5.0871959,52.06323
16797,5.0886013,52.0643777
16796,5.0888528,52.0644907
1060,5.0885994,52.0648783
1058,5.0885994,52.0648783
12009,5.085611,52.065286
12010,5.0857429,52.065334
12011,5.0830834,52.0661254
406,5.0860522,52.0671073
