,0
0,0.5425219941348974
1,0.46535400083787204
2,0.6594051110180142
3,0.4688730624214496
4,0.5010473397570172
5,0.46384583158776715
6,0.498533724340176
7,0.5246753246753246
8,0.45077503142019276
9,0.44524507750314196
10,0.5245077503142019
11,0.5253456221198156
12,0.4815668202764977
13,0.5337243401759529
14,0.46585672392123995
15,0.5085881860075409
16,0.5178047758692921
17,0.5211562630917469
18,0.48973607038123174
19,0.5060745705906997
20,0.4365312107247592
21,0.7205697528278174
22,0.41223292836196057
23,0.3986175115207374
24,0.4979053204859657
25,0.5257645580226227
26,0.3942186845412651
27,0.5194805194805194
28,0.5064935064935066
29,0.45328864683703396
30,0.4545454545454545
31,0.505236698785086
32,0.42647674905739424
33,0.569752827817344
34,0.4951822371177211
35,0.5205278592375367
36,0.46271470465018855
37,0.5198994553833264
38,0.5299539170506912
39,0.5056556346878928
40,0.501466275659824
41,0.32844574780058644
42,0.5596983661499791
43,0.5827398408043568
44,0.5483870967741935
45,0.45789694176790957
46,0.5605362379555929
47,0.43946376204440724
48,0.4991621281943863
49,0.45035609551738587
50,0.48387096774193555
51,0.5173858399664851
52,0.5094260578131545
53,0.34687892752408894
54,0.9304566401340595
55,0.7126099706744868
56,0.4578969417679097
57,0.4914118139924591
58,0.4801005446166737
59,0.5217846669459573
60,0.5136154168412234
61,0.5006284038542103
62,0.5693338919145372
63,0.48093841642228735
64,0.46795140343527447
65,0.4713028906577294
66,0.0
67,0.7151235860913282
68,0.23921240050272324
69,0.6196062002513616
70,0.5027230833682447
71,0.4947633012149142
72,0.4853372434017596
73,0.47172182656053624
74,0.4423963133640554
75,0.5211562630917471
76,0.5056556346878928
77,0.478843736908253
78,0.08378718056137434
79,1.0
80,0.5969836614997907
81,0.46082949308755766
82,0.4696271470465019
83,0.5400083787180562
84,0.49664851277754507
85,0.46334310850439875
86,0.6200251361541684
87,0.6271470465018852
88,0.49057394218684547
89,0.5525764558022624
90,0.525345622119816
91,0.3246753246753247
92,0.4859656472559699
93,0.5999162128194387
94,0.47968160871386684
95,0.4916212819438626
96,0.512987012987013
97,0.5064935064935066
98,0.3083368244658568
99,0.4599916212819441
100,0.46627565982404695
101,0.48010054461667373
102,0.5123586091328027
103,0.48512777545035607
104,0.5219941348973607
105,0.5102639296187683
106,0.49811478843736906
107,0.5092165898617512
108,0.484080435693339
109,0.48512777545035635
110,0.5320485965647255
111,0.5123586091328027
112,0.5253456221198157
113,0.5081692501047339
114,0.4876413908671973
115,0.534562211981567
116,0.42061164641809806
117,0.47214076246334313
118,0.45705906996229584
119,0.4884792626728111
120,0.475911185588605
121,0.5106828655215754
122,0.550481776288228
123,0.5169669040636783
124,0.46669459572685396
125,0.42899036447423544
126,0.48554671135316296
127,0.5328864683703394
128,0.563468789275241
129,0.48764139086719727
130,0.5395894428152493
131,0.5023041474654378
132,0.49979053204859664
133,0.521994134897361
134,0.48093841642228746
135,0.4930875576036866
136,0.5266024298282364
137,0.508169250104734
138,0.5010473397570173
139,0.48219522413070803
140,0.4792626728110599
141,0.5131964809384164
142,0.5404273146208629
143,0.48659405111018017
144,0.4767490573942185
145,0.46082949308755766
146,0.5075827398408045
147,0.5337243401759529
148,0.43669878508588184
149,0.5136154168412234
150,0.5261834939254294
151,0.4683703393380813
152,0.4829493087557604
153,0.49853372434017584
154,0.4638458315877672
155,0.5500628403854211
