ID,Traffico,no_existing_chg,mixed_use_area_per_cell,centroid_x,centroid_y,Colore
125,0,2,nan,383406.9038105677,398629,lightcyan
126,0,1,nan,383277.0,398852,lightcyan
127,0,1,nan,383406.9038105677,399075,lightcyan
128,0,0,nan,383277.0,399298,lightcyan
129,0,0,nan,383406.9038105677,399521,lightcyan
130,0,0,nan,383277.0,399744,lightcyan
131,12647,0,50129.028,383406.9038105677,399967,lightskyblue
132,0,0,nan,383277.0,400190,lightcyan
133,0,0,0.0,383406.9038105677,400413,lightcyan
134,0,0,nan,383277.0,400636,lightcyan
135,0,0,92.51100000000001,383406.9038105677,400859,lightcyan
136,0,0,nan,383536,393500,lightcyan
137,0,0,nan,383665.9038105677,393723,lightcyan
138,0,0,0.0,383536.0,393946,lightcyan
139,0,0,nan,383665.9038105677,394169,lightcyan
140,0,0,0.0,383536.0,394392,lightcyan
141,0,0,nan,383665.9038105677,394615,lightcyan
142,0,0,0.0,383536.0,394838,lightcyan
143,0,0,nan,383665.9038105677,395061,lightcyan
144,0,0,nan,383536.0,395284,lightcyan
145,0,0,nan,383665.9038105677,395507,lightcyan
146,0,0,nan,383536.0,395730,lightcyan
147,0,0,nan,383665.9038105677,395953,lightcyan
148,346,0,nan,383536.0,396176,lightskyblue
149,0,2,nan,383665.9038105677,396399,lightcyan
150,0,0,nan,383536.0,396622,lightcyan
151,35142,16,nan,383665.9038105677,396845,deepskyblue
152,0,0,nan,383536.0,397068,lightcyan
153,0,0,nan,383665.9038105677,397291,lightcyan
154,14207,0,nan,383536.0,397514,lightskyblue
155,0,12,nan,383665.9038105677,397737,lightcyan
156,0,3,148402.645,383536.0,397960,lightcyan
157,14951,0,nan,383665.9038105677,398183,deepskyblue
158,0,0,74410.307,383536.0,398406,lightcyan
159,16870,2,nan,383665.9038105677,398629,deepskyblue
160,0,0,13800.52,383536.0,398852,lightcyan
161,24850,0,nan,383665.9038105677,399075,deepskyblue
162,0,0,26315.681,383536.0,399298,lightcyan
163,0,0,nan,383665.9038105677,399521,lightcyan
164,0,0,nan,383536.0,399744,lightcyan
165,0,0,nan,383665.9038105677,399967,lightcyan
166,0,0,nan,383536.0,400190,lightcyan
167,0,0,nan,383665.9038105677,400413,lightcyan
168,0,0,nan,383536.0,400636,lightcyan
169,0,0,nan,383665.9038105677,400859,lightcyan
170,0,0,nan,383795,393500,lightcyan
171,0,0,nan,383924.9038105677,393723,lightcyan
172,0,0,nan,383795.0,393946,lightcyan
173,0,0,nan,383924.9038105677,394169,lightcyan
174,0,0,nan,383795.0,394392,lightcyan
175,0,0,nan,383924.9038105677,394615,lightcyan
176,0,0,nan,383795.0,394838,lightcyan
177,34342,0,nan,383924.9038105677,395061,deepskyblue
178,0,0,nan,383795.0,395284,lightcyan
179,0,0,145893.03699999998,383924.9038105677,395507,lightcyan
180,0,0,nan,383795.0,395730,lightcyan
181,0,0,4384.563,383924.9038105677,395953,lightcyan
182,0,0,nan,383795.0,396176,lightcyan
183,0,0,0.0,383924.9038105677,396399,lightcyan
184,0,0,nan,383795.0,396622,lightcyan
185,5777,0,34186.95,383924.9038105677,396845,lightskyblue
186,69977,0,nan,383795.0,397068,darkblue
187,0,3,51218.615,383924.9038105677,397291,lightcyan
188,0,1,nan,383795.0,397514,lightcyan
189,7038,0,nan,383924.9038105677,397737,lightskyblue
190,15930,0,nan,383795.0,397960,deepskyblue
191,3681,0,nan,383924.9038105677,398183,lightskyblue
192,5168,0,nan,383795.0,398406,lightskyblue
193,0,0,nan,383924.9038105677,398629,lightcyan
194,0,0,nan,383795.0,398852,lightcyan
195,15324,0,nan,383924.9038105677,399075,deepskyblue
196,0,0,nan,383795.0,399298,lightcyan
