,longitude,latitude
7578,-2.2582794,53.4619211
7579,-2.2582789,53.4619725
2027,-2.2625835,53.4621514
2025,-2.2624753,53.4623517
2021,-2.2698326,53.4625561
2019,-2.268859,53.4628438
13113,-2.268418,53.462933
7888,-2.2577965,53.4590417
7889,-2.2577279,53.4590685
7892,-2.257438,53.4591692
7893,-2.2572166,53.4592397
2058,-2.2558564,53.4599073
2059,-2.253568,53.4600035
13232,-2.250735,53.460325
7716,-2.2511115,53.4608992
13094,-2.257952,53.465522
7609,-2.2530776,53.4665157
7714,-2.2484457,53.4614924
7753,-2.2480921,53.4615536
7713,-2.2484345,53.4616145
7712,-2.2484191,53.4618472
7754,-2.248123,53.4619451
7711,-2.2483995,53.4621036
7755,-2.2480996,53.462328
7756,-2.2480876,53.4625756
7757,-2.2480516,53.4626421
13239,-2.248694,53.46414
13200,-2.266374,53.463306
2018,-2.2684605,53.4633518
7580,-2.2582756,53.4634577
2023,-2.2683122,53.4635959
2049,-2.2680826,53.4638901
4475,-2.2671845,53.4640757
7521,-2.2670724,53.4640945
2015,-2.2625453,53.4641432
4474,-2.2667066,53.4641651
13138,-2.265552,53.464289
7522,-2.2685347,53.4649286
2017,-2.2593345,53.4653106
13169,-2.260495,53.465319
7588,-2.2584529,53.4654758
5657,-2.2595162,53.4654826
5656,-2.259422,53.4655013
13201,-2.2657423,53.4658422
2047,-2.2658609,53.4658523
2062,-2.2649559,53.4661851
2060,-2.2646922,53.4664166
2559,-2.2483759,53.4653572
7649,-2.248474,53.4656431
2550,-2.2503128,53.4670377
13101,-2.25018,53.467099
7620,-2.2498985,53.4671143
7512,-2.2491686,53.4674375
5681,-2.2490011,53.4674683
189,-2.2491538,53.4674709
2553,-2.2488627,53.4674773
7513,-2.2490958,53.4674836
2061,-2.2645773,53.4664229
2063,-2.2648701,53.466576
2056,-2.2648639,53.4667667
7519,-2.2606839,53.4669116
13111,-2.258054,53.467813
11229,-2.265788,53.4698086
5745,-2.2630228,53.4703276
5744,-2.2631596,53.4704457
10069,-2.2668864,53.4716326
10070,-2.2669377,53.4716494
6250,-2.2523819,53.4666378
7610,-2.2520859,53.4666893
7619,-2.2515655,53.4668199
2170,-2.2528313,53.4676933
2169,-2.2524869,53.4678787
2167,-2.2519988,53.4681147
2168,-2.2522616,53.4681178
13186,-2.251143,53.468393
2005,-2.256285,53.4732076
2004,-2.255609,53.4732714
7514,-2.2490734,53.4674885
2551,-2.2490545,53.4674909
2554,-2.2489772,53.4675047
2552,-2.2488858,53.4675223
5680,-2.2488122,53.4675501
2549,-2.248605,53.4675745
7511,-2.2496456,53.4677244
13179,-2.249945,53.471487
440,-2.2486153,53.472949
5135,-2.2470939,53.473111
10068,-2.2668391,53.471651
10071,-2.2669508,53.4716749
13189,-2.263913,53.471862
2761,-2.2611074,53.4720642
2760,-2.2605817,53.4722334
11872,-2.2646655,53.4723
2759,-2.260528,53.4723388
11873,-2.2654544,53.4729597
11874,-2.2657357,53.473026
8933,-2.2686426,53.4732315
13233,-2.248502,53.47316
5138,-2.2477613,53.4733094
7821,-2.2469348,53.4733728
4452,-2.2480273,53.4733953
4451,-2.2468968,53.4734716
5069,-2.2484329,53.4737852
5153,-2.2488199,53.4739529
13223,-2.24718,53.474141
4340,-2.2504946,53.4742381
1759,-2.2489746,53.4745927
13168,-2.251766,53.47355
435,-2.2578051,53.4738401
2763,-2.251454,53.4742305
1978,-2.2556096,53.4742566
2758,-2.2551474,53.4742822
3786,-2.2518693,53.4742896
4428,-2.2514584,53.4742925
4427,-2.2516411,53.4743493
4429,-2.2509267,53.47435
475,-2.2508513,53.4744675
4426,-2.2506434,53.4746719
2006,-2.2562635,53.4748359
3790,-2.2512277,53.4750991
5310,-2.2535691,53.4752469
5311,-2.2535383,53.4752741
5312,-2.2535054,53.4753024
4299,-2.2509752,53.4753853
13182,-2.251275,53.475572
8752,-2.2550176,53.4756054
3789,-2.2534438,53.4756229
1758,-2.2491231,53.4746026
891,-2.249381,53.4746087
890,-2.2496967,53.4746221
4424,-2.2500412,53.4746371
4425,-2.2504006,53.4746531
5126,-2.2476911,53.4747555
560,-2.2501928,53.4754871
559,-2.2504623,53.4755262
5070,-2.2505848,53.476202
4454,-2.2505535,53.4762536
9035,-2.267746,53.4741163
2755,-2.2582219,53.4746231
13024,-2.2670544,53.4746483
9348,-2.2640204,53.474879
8345,-2.2674283,53.4760114
9347,-2.2631762,53.4767244
9346,-2.2631427,53.4767411
8899,-2.2648202,53.4769258
2839,-2.2655503,53.4769464
8906,-2.2677856,53.4769747
5740,-2.2536484,53.4756365
12281,-2.2519286,53.4756582
3788,-2.2516632,53.4757274
12282,-2.2518842,53.4757925
8346,-2.2544101,53.4758177
3601,-2.2507659,53.4758211
9456,-2.2514388,53.4758653
5076,-2.2522229,53.4758654
8367,-2.2513537,53.4758951
1767,-2.2523574,53.475919
5077,-2.2526019,53.4759921
3787,-2.2531999,53.4760036
12264,-2.2513014,53.4760214
12619,-2.2506163,53.4760523
5078,-2.2528609,53.4760603
558,-2.2510425,53.4760619
124,-2.2510278,53.4761318
8344,-2.254714,53.4761381
5227,-2.2530611,53.4762536
8343,-2.2546534,53.4762832
122,-2.2540463,53.4763137
5079,-2.2547983,53.476412
7177,-2.2563314,53.4764469
7178,-2.2563488,53.4764489
7179,-2.2563668,53.4764523
7180,-2.256486,53.476478
5080,-2.2551485,53.4764787
7181,-2.2565034,53.4764801
7182,-2.2565213,53.4764835
5075,-2.2508374,53.4764863
8238,-2.2551493,53.4765381
8332,-2.254429,53.4765577
5081,-2.2557416,53.4765621
8199,-2.2545015,53.4765947
557,-2.2507247,53.4765999
8334,-2.2545279,53.476673
5082,-2.2566266,53.4767177
8237,-2.2555547,53.4767294
8335,-2.2545036,53.47673
5739,-2.2543525,53.4767372
5313,-2.2504583,53.4764
470,-2.2496636,53.476409
5071,-2.2504034,53.4764913
12263,-2.2503356,53.4766081
5159,-2.2492093,53.4768675
5160,-2.2500158,53.4770571
13226,-2.248449,53.477177
5072,-2.250012,53.4772089
556,-2.2504032,53.4772303
5130,-2.2472426,53.4775464
8236,-2.2563286,53.4768653
5083,-2.2578785,53.476949
8235,-2.2575538,53.4770682
3616,-2.254512,53.477122
3615,-2.2542194,53.477218
4453,-2.2546159,53.4772319
8587,-2.2547008,53.4772588
8239,-2.2539162,53.4774875
7464,-2.2524145,53.4777801
7463,-2.252534,53.4777913
3617,-2.248807,53.47755
715,-2.2480451,53.4775523
13738,-2.2502074,53.4775841
5073,-2.2497406,53.4776645
12074,-2.2496681,53.477789
1770,-2.2468274,53.477859
12507,-2.2472962,53.4778984
5074,-2.2495932,53.4779084
5314,-2.2496059,53.4779296
7851,-2.2499547,53.4779495
7462,-2.2526603,53.4778121
7461,-2.2526741,53.4778136
7457,-2.2530078,53.4778148
7460,-2.2527398,53.4778265
7465,-2.2523904,53.4778316
7455,-2.2528731,53.4778474
7454,-2.2529265,53.4778559
7456,-2.252973,53.477889
7466,-2.2523624,53.4778951
5603,-2.2520338,53.4779169
7445,-2.2526338,53.4779274
7443,-2.2525946,53.4779363
7451,-2.2523359,53.4779495
7442,-2.2527132,53.4779549
7452,-2.2523245,53.4779733
7439,-2.252637,53.4779743
7440,-2.2525696,53.4780037
7453,-2.2523053,53.4780144
7467,-2.2530405,53.4780161
7441,-2.2526797,53.4780204
12506,-2.2478962,53.4779758
2762,-2.2502944,53.4779955
8757,-2.2484595,53.4780608
2611,-2.2472464,53.4781428
11836,-2.2475171,53.478178
6889,-2.24791,53.4781968
553,-2.2498882,53.4782018
11837,-2.24827,53.4782395
11838,-2.2484064,53.4782533
554,-2.2502174,53.4782552
9037,-2.2663707,53.4769764
9036,-2.2673122,53.4769894
9039,-2.2672974,53.4770237
9038,-2.2672941,53.4770341
9040,-2.2672867,53.4770452
9050,-2.2670829,53.4771175
8234,-2.2588839,53.4772946
8124,-2.2581762,53.4775042
13135,-2.262468,53.47866
8808,-2.2625658,53.4792822
7444,-2.2526402,53.4780306
7450,-2.2522867,53.4780524
7459,-2.2530093,53.4780621
7449,-2.2523606,53.4780909
7448,-2.2524368,53.4781037
7458,-2.2528714,53.4781085
7447,-2.2525008,53.4781161
7446,-2.2525276,53.4781188
7914,-2.2518832,53.4782595
8760,-2.2529037,53.4783719
555,-2.2504971,53.4783
581,-2.2489523,53.4783236
580,-2.2492407,53.4783249
11839,-2.2492933,53.4783765
552,-2.249691,53.4784534
578,-2.2502961,53.4785424
582,-2.2491648,53.47855
10906,-2.2495909,53.4785558
579,-2.2504389,53.4785582
