,0
532,0.27
533,0.0
534,0.0
535,0.27
536,0.0
537,0.0
538,0.27
539,0.29
540,0.14
541,0.27
542,0.17
543,0.27
544,0.14
545,0.02
546,0.14
547,0.29
548,0.14
549,0.29
550,0.29
551,0.29
552,0.0
553,0.0
554,0.0
555,0.27
556,0.0
557,0.27
558,0.02
559,0.27
560,0.27
561,0.17
562,0.02
563,0.0
564,0.27
565,0.27
566,0.29
567,0.27
568,0.27
569,0.29
570,0.29
571,0.29
572,0.29
573,0.27
574,0.0
575,0.27
576,0.27
577,0.0
578,0.17
579,0.27
580,0.29
581,0.27
582,0.0
583,0.0
584,0.27
585,0.27
586,0.14
587,0.27
588,0.0
589,0.27
590,0.27
591,0.27
592,0.29
593,0.0
594,0.29
595,0.0
596,0.29
597,0.29
598,0.27
599,0.29
600,0.27
601,0.27
602,0.29
603,0.27
604,0.27
605,0.29
606,0.27
607,0.14
608,0.29
609,0.27
610,0.27
611,0.29
612,0.27
613,0.0
614,0.0
615,0.27
616,0.27
617,0.29
618,0.29
619,0.29
620,0.17
621,0.0
622,0.29
623,0.27
624,0.0
625,0.27
626,0.29
627,0.29
628,0.27
629,0.27
630,0.27
631,0.29
632,0.27
633,0.29
634,0.27
635,0.29
636,0.27
637,0.0
638,0.27
639,0.08
640,0.0
641,0.29
642,0.29
643,0.27
644,0.29
645,0.29
646,0.08
647,0.27
648,0.29
649,0.29
650,0.27
651,0.27
652,0.0
653,0.27
654,0.08
655,0.29
656,0.29
657,0.27
658,0.29
659,0.27
660,0.27
661,0.27
662,0.27
663,0.29
664,0.29
665,0.29
666,0.27
667,0.29
668,0.29
669,0.29
670,0.0
671,0.27
672,0.27
673,0.29
674,0.14
675,0.27
676,0.27
677,0.27
678,0.27
679,0.14
680,0.14
681,0.27
682,0.14
683,0.0
684,0.14
685,0.0
686,0.0
687,0.0
688,0.0
689,0.29
690,0.29
691,0.29
692,0.29
693,0.0
694,0.29
695,0.29
696,0.27
697,0.27
698,0.29
699,0.27
700,0.29
701,0.27
702,0.29
703,0.29
704,0.27
705,0.27
706,0.29
707,0.27
708,0.29
709,0.0
710,0.02
711,0.27
712,0.29
713,0.27
714,0.27
715,0.27
716,0.29
717,0.08
718,0.27
719,0.27
720,0.29
721,0.27
722,0.14
723,0.29
724,0.29
725,0.29
726,0.29
727,0.27
728,0.27
729,0.29
730,0.29
731,0.29
732,0.27
733,0.29
734,0.27
735,0.02
736,0.14
737,0.27
738,0.27
739,0.29
740,0.27
741,0.29
742,0.0
743,0.29
744,0.29
745,0.02
746,0.29
747,0.14
748,0.27
749,0.27
750,0.27
751,0.29
752,0.14
753,0.02
754,0.27
755,0.0
756,0.0
757,0.17
758,0.29
759,0.29
760,0.29
761,0.0
762,0.27
763,0.27
764,0.29
765,0.14
766,0.02
767,0.14
768,0.27
769,0.27
770,0.27
771,0.02
772,0.29
773,0.29
774,0.27
775,0.14
776,0.27
777,0.29
778,0.29
779,0.29
780,0.29
781,0.29
782,0.29
783,0.29
784,0.27
785,0.27
786,0.27
787,0.27
788,0.29
789,0.29
790,0.29
791,0.14
792,0.29
793,0.27
794,0.14
795,0.29
796,0.29
797,0.29
798,0.29
799,0.14
800,0.14
801,0.27
802,0.14
803,0.0
804,0.27
805,0.29
806,0.29
807,0.29
808,0.14
809,0.29
810,0.14
811,0.14
812,0.29
813,0.08
814,0.29
815,0.29
816,0.27
817,0.14
818,0.29
819,0.17
820,0.27
821,0.29
822,0.29
823,0.29
824,0.29
825,0.0
826,0.14
827,0.27
828,0.27
829,0.27
830,0.08
831,0.29
832,0.14
833,0.02
834,0.29
835,0.27
836,0.27
837,0.29
838,0.29
839,0.27
840,0.0
841,0.29
842,0.29
843,0.29
844,0.08
845,0.29
846,0.27
847,0.29
848,0.29
849,0.27
850,0.27
851,0.0
852,0.29
853,0.14
854,0.27
855,0.27
856,0.27
857,0.27
858,0.29
859,0.29
860,0.29
861,0.17
862,0.02
863,0.27
864,0.27
865,0.0
866,0.0
867,0.17
868,0.29
869,0.27
870,0.29
871,0.08
872,0.29
873,0.29
874,0.29
875,0.27
876,0.08
877,0.29
878,0.0
879,0.29
880,0.0
881,0.29
882,0.29
883,0.29
884,0.29
885,0.02
886,0.29
887,0.29
888,0.29
889,0.27
890,0.27
891,0.29
892,0.14
893,0.27
894,0.17
895,0.29
896,0.0
897,0.0
898,0.0
899,0.0
900,0.27
901,0.27
902,0.29
903,0.08
904,0.29
905,0.27
906,0.27
907,0.27
908,0.27
909,0.14
910,0.27
911,0.27
912,0.29
913,0.27
914,0.27
915,0.29
916,0.27
917,0.08
918,0.29
919,0.27
920,0.27
921,0.02
922,0.27
923,0.27
924,0.27
925,0.27
926,0.27
927,0.02
928,0.0
929,0.29
930,0.27
931,0.29
932,0.29
933,0.27
934,0.27
935,0.14
936,0.27
937,0.29
938,0.14
939,0.27
940,0.29
941,0.27
942,0.0
943,0.02
944,0.27
945,0.08
946,0.29
947,0.29
948,0.27
949,0.27
950,0.14
951,0.27
952,0.14
953,0.17
954,0.17
955,0.29
956,0.14
957,0.27
958,0.27
959,0.27
960,0.27
961,0.29
962,0.29
963,0.14
964,0.27
965,0.14
966,0.29
967,0.27
