ID,Traffico,no_existing_chg,centroid_x,centroid_y,Colore
0,716.6286233484473,0,-0.21,51.46,lightskyblue
1,659.2462008238613,0,-0.20220577136594003,51.4735,lightskyblue
2,11763.992304999767,0,-0.21,51.487,deepskyblue
3,18523.921636480358,2,-0.20220577136594003,51.5005,deepskyblue
4,3021.690116215968,0,-0.21,51.514,lightskyblue
5,7147.853296007686,0,-0.20220577136594003,51.5275,lightskyblue
6,153.88152820533128,2,-0.21,51.541000000000004,lightskyblue
7,3845.76765563396,2,-0.20220577136594003,51.554500000000004,lightskyblue
8,2772.768471444203,2,-0.1944115427318801,51.46,lightskyblue
9,9803.607448502482,2,-0.18661731409782015,51.4735,deepskyblue
10,22727.049712607222,1,-0.1944115427318801,51.487,deepskyblue
11,19732.64881333028,0,-0.18661731409782015,51.5005,deepskyblue
12,16203.38074005326,1,-0.1944115427318801,51.514,deepskyblue
13,7942.677465952313,1,-0.18661731409782015,51.5275,lightskyblue
14,11226.562241990892,0,-0.1944115427318801,51.541000000000004,deepskyblue
15,8370.438836712712,0,-0.18661731409782015,51.554500000000004,lightskyblue
16,14712.541377566622,0,-0.17882308546376022,51.46,deepskyblue
17,9939.186475349536,0,-0.17102885682970026,51.4735,deepskyblue
18,23396.60547448432,0,-0.17882308546376022,51.487,deepskyblue
19,17227.6031403662,0,-0.17102885682970026,51.5005,deepskyblue
20,17689.964821152847,0,-0.17882308546376022,51.514,deepskyblue
21,17200.74039515859,0,-0.17102885682970026,51.5275,deepskyblue
22,21310.88238394498,0,-0.17882308546376022,51.541000000000004,deepskyblue
23,2140.943909255675,0,-0.17102885682970026,51.554500000000004,lightskyblue
24,9774.68863574813,0,-0.16323462819564033,51.46,deepskyblue
25,6842.901160088555,0,-0.15544039956158037,51.4735,lightskyblue
26,10714.943064992627,0,-0.16323462819564033,51.487,deepskyblue
27,38216.771098363024,2,-0.15544039956158037,51.5005,royalblue
28,64629.86208404202,1,-0.16323462819564033,51.514,darkblue
29,23517.815321992755,0,-0.15544039956158037,51.5275,deepskyblue
30,1965.4689403718944,0,-0.16323462819564033,51.541000000000004,lightskyblue
31,5868.556708817446,0,-0.15544039956158037,51.554500000000004,lightskyblue
32,6439.454551681978,0,-0.14764617092752044,51.46,lightskyblue
33,9268.974753188506,1,-0.13985194229346049,51.4735,lightskyblue
34,19135.554084579668,1,-0.14764617092752044,51.487,deepskyblue
35,32872.8812263705,0,-0.13985194229346049,51.5005,royalblue
36,28000.432941225255,3,-0.14764617092752044,51.514,royalblue
37,23881.815406538386,0,-0.13985194229346049,51.5275,deepskyblue
38,13927.127549662946,2,-0.14764617092752044,51.541000000000004,deepskyblue
39,5440.686435979268,0,-0.13985194229346049,51.554500000000004,lightskyblue
40,9288.910222670975,0,-0.13205771365940056,51.46,lightskyblue
41,14395.262227558549,0,-0.12426348502534061,51.4735,deepskyblue
42,21508.71871468391,0,-0.13205771365940056,51.487,deepskyblue
43,38777.70817846374,2,-0.12426348502534061,51.5005,royalblue
44,27733.815059616878,4,-0.13205771365940056,51.514,royalblue
45,33417.316154833854,3,-0.12426348502534061,51.5275,royalblue
46,14577.377119955869,0,-0.13205771365940056,51.541000000000004,deepskyblue
47,6595.510290678703,1,-0.12426348502534061,51.554500000000004,lightskyblue
48,9605.802553664384,2,-0.11646925639128067,51.46,lightskyblue
49,8378.267070847503,1,-0.10867502775722072,51.4735,lightskyblue
50,21824.55642281159,0,-0.11646925639128067,51.487,deepskyblue
51,27710.51266240426,24,-0.10867502775722072,51.5005,royalblue
52,27973.944343402316,3,-0.11646925639128067,51.514,royalblue
53,26490.397922473574,2,-0.10867502775722072,51.5275,royalblue
54,3778.8194105726398,1,-0.11646925639128067,51.541000000000004,lightskyblue
55,5417.404255958708,1,-0.10867502775722072,51.554500000000004,lightskyblue
56,2103.1101193042405,4,-0.10088079912316078,51.46,lightskyblue
57,15477.008492259578,28,-0.09308657048910084,51.4735,deepskyblue
58,15046.97619620111,21,-0.10088079912316078,51.487,deepskyblue
59,21796.530179733738,45,-0.09308657048910084,51.5005,deepskyblue
60,22978.365199401,4,-0.10088079912316078,51.514,deepskyblue
61,22943.307565895146,0,-0.09308657048910084,51.5275,deepskyblue
62,11300.625720917233,0,-0.10088079912316078,51.541000000000004,deepskyblue
63,1596.5638630695198,1,-0.09308657048910084,51.554500000000004,lightskyblue
64,386.4479559800043,23,-0.08529234185504089,51.46,lightskyblue
65,7956.336547836277,26,-0.07749811322098095,51.4735,lightskyblue
66,14902.59112145656,20,-0.08529234185504089,51.487,deepskyblue
67,8804.35054816754,22,-0.07749811322098095,51.5005,lightskyblue
68,21578.69714989362,0,-0.08529234185504089,51.514,deepskyblue
69,24748.36032738552,1,-0.07749811322098095,51.5275,deepskyblue
70,6516.178313766084,1,-0.08529234185504089,51.541000000000004,lightskyblue
71,4815.513081255119,0,-0.07749811322098095,51.554500000000004,lightskyblue
72,2810.562232002985,16,-0.069703884586921,51.46,lightskyblue
73,11549.91132864117,22,-0.06190965595286106,51.4735,deepskyblue
74,17301.77664883078,26,-0.069703884586921,51.487,deepskyblue
75,3954.640563185093,27,-0.06190965595286106,51.5005,lightskyblue
76,27019.409605496294,2,-0.069703884586921,51.514,royalblue
77,16178.49217469575,1,-0.06190965595286106,51.5275,deepskyblue
78,9096.309522669435,0,-0.069703884586921,51.541000000000004,lightskyblue
79,3249.4215022766166,0,-0.06190965595286106,51.554500000000004,lightskyblue
80,7431.859061267314,19,-0.05411542731880112,51.46,lightskyblue
