,0
532,0.29
533,0.29
534,0.14
535,0.29
536,0.29
537,0.29
538,0.27
539,0.02
540,0.0
541,0.02
542,0.08
543,0.08
544,0.29
545,0.29
546,0.29
547,0.14
548,0.29
549,0.29
550,0.29
551,0.29
552,0.27
553,0.29
554,0.29
555,0.29
556,0.29
557,0.29
558,0.27
559,0.29
560,0.0
561,0.27
562,0.02
563,0.17
564,0.02
565,0.0
566,0.27
567,0.29
568,0.02
569,0.14
570,0.02
571,0.02
572,0.0
573,0.02
574,0.27
575,0.17
576,0.29
577,0.29
578,0.29
579,0.17
580,0.14
581,0.27
582,0.27
583,0.14
584,0.0
585,0.02
586,0.0
587,0.0
588,0.29
589,0.0
590,0.0
591,0.02
592,0.14
593,0.0
594,0.02
595,0.02
596,0.27
597,0.27
598,0.27
599,0.02
600,0.08
601,0.29
602,0.08
603,0.27
604,0.0
605,0.14
606,0.27
607,0.29
608,0.27
609,0.29
610,0.27
611,0.27
612,0.29
613,0.29
614,0.08
615,0.02
616,0.02
617,0.02
618,0.29
619,0.02
620,0.0
621,0.29
622,0.0
623,0.14
624,0.08
625,0.29
626,0.27
627,0.02
628,0.29
629,0.0
630,0.27
631,0.14
632,0.27
633,0.14
634,0.27
635,0.02
636,0.02
637,0.08
638,0.29
639,0.0
640,0.0
641,0.29
642,0.02
643,0.29
644,0.14
645,0.14
646,0.14
647,0.14
648,0.14
649,0.14
650,0.14
651,0.14
652,0.29
653,0.27
654,0.0
655,0.02
656,0.29
657,0.29
658,0.29
659,0.29
660,0.02
661,0.29
662,0.29
663,0.02
664,0.29
665,0.29
666,0.29
667,0.17
668,0.17
669,0.29
670,0.29
671,0.27
672,0.27
673,0.27
674,0.27
675,0.29
676,0.17
677,0.29
678,0.27
679,0.27
680,0.27
681,0.29
682,0.0
683,0.0
684,0.27
685,0.27
686,0.27
687,0.27
688,0.14
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.02
695,0.27
696,0.0
697,0.14
698,0.27
699,0.08
700,0.29
701,0.0
702,0.0
703,0.14
704,0.0
705,0.0
706,0.27
707,0.29
708,0.0
709,0.0
710,0.29
711,0.29
712,0.29
713,0.29
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.17
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.27
727,0.0
728,0.29
729,0.0
730,0.0
731,0.0
732,0.0
733,0.14
734,0.14
735,0.14
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.17
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.27
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.29
760,0.29
761,0.0
762,0.0
763,0.02
764,0.29
765,0.02
766,0.29
767,0.0
768,0.02
769,0.08
770,0.29
771,0.29
772,0.08
773,0.27
774,0.08
775,0.29
776,0.29
777,0.29
778,0.29
779,0.08
780,0.29
781,0.29
782,0.29
783,0.29
784,0.29
785,0.29
786,0.27
787,0.0
788,0.29
789,0.29
790,0.08
791,0.0
792,0.0
793,0.0
794,0.02
795,0.29
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.08
805,0.29
806,0.0
807,0.29
808,0.27
809,0.08
810,0.27
811,0.08
812,0.27
813,0.17
814,0.0
815,0.0
816,0.02
817,0.0
818,0.02
819,0.0
820,0.02
821,0.02
822,0.29
823,0.27
824,0.29
825,0.27
826,0.02
827,0.27
828,0.0
829,0.0
830,0.0
831,0.27
832,0.27
833,0.27
834,0.0
835,0.02
836,0.0
837,0.17
838,0.0
839,0.0
840,0.17
841,0.0
842,0.27
843,0.29
844,0.29
845,0.29
846,0.02
847,0.02
848,0.27
849,0.27
850,0.29
851,0.27
852,0.29
853,0.27
854,0.29
855,0.29
856,0.29
857,0.02
858,0.29
859,0.29
860,0.27
861,0.27
862,0.29
863,0.27
864,0.17
865,0.0
866,0.27
867,0.27
868,0.02
869,0.02
870,0.0
871,0.0
872,0.14
873,0.02
874,0.0
875,0.02
876,0.0
877,0.27
878,0.27
879,0.27
880,0.27
881,0.27
882,0.27
883,0.27
884,0.02
885,0.0
886,0.17
887,0.0
888,0.02
889,0.14
890,0.14
891,0.02
892,0.02
893,0.0
894,0.29
895,0.14
896,0.29
897,0.29
898,0.29
899,0.29
900,0.29
901,0.27
902,0.27
903,0.29
904,0.27
905,0.27
906,0.02
907,0.0
908,0.08
909,0.08
910,0.0
911,0.0
912,0.0
913,0.0
914,0.29
915,0.0
916,0.14
917,0.08
918,0.17
919,0.29
920,0.17
921,0.29
922,0.0
923,0.0
924,0.0
925,0.29
926,0.27
927,0.0
928,0.0
929,0.0
930,0.14
931,0.0
932,0.0
933,0.0
934,0.29
935,0.0
936,0.27
937,0.0
938,0.17
939,0.17
940,0.17
941,0.14
942,0.17
943,0.17
944,0.29
945,0.17
946,0.0
947,0.0
948,0.29
