,longitud,latitud
47443,-3.7536224,40.3077997
891,-3.7342354,40.3028767
14705,-3.7396132,40.3030662
35018,-3.7374501,40.3031151
23554,-3.7371736,40.3032716
23555,-3.7371773,40.3032739
34337,-3.7344093,40.3033563
23564,-3.7374829,40.3033975
23560,-3.7372362,40.3036226
33687,-3.7347079,40.3037699
20432,-3.7416465,40.3038745
23586,-3.7368461,40.3046019
23591,-3.7365012,40.304723
20448,-3.7377024,40.3047921
23568,-3.7378974,40.3048074
23594,-3.7364878,40.3048407
23573,-3.7380566,40.305037
23572,-3.738029,40.3051084
23597,-3.7364316,40.3051109
23596,-3.7364904,40.3051163
23599,-3.7363001,40.3051188
20431,-3.7421547,40.3017786
20433,-3.7419106,40.3058621
44059,-3.7494804,40.3058857
35029,-3.7428165,40.314816
10681,-3.7448625,40.3169433
23598,-3.7366029,40.3053948
23574,-3.7381308,40.3055135
23595,-3.7365859,40.3055364
31425,-3.7336751,40.305715
20435,-3.7332275,40.3057262
20434,-3.7392958,40.3059731
23576,-3.7382528,40.3060141
23593,-3.7365023,40.3060449
23592,-3.7365189,40.3060681
23577,-3.7382447,40.3060939
23589,-3.7368899,40.3064898
23587,-3.7371267,40.3065735
23588,-3.7368262,40.3065758
23585,-3.7374477,40.3066069
23590,-3.736456,40.3066392
23582,-3.7352249,40.3067808
574,-3.7378674,40.3068446
23583,-3.7351008,40.3070493
23578,-3.7385186,40.3071695
1427,-3.7370255,40.3073365
24027,-3.7607894,40.3233667
6556,-3.758338,40.323524
21740,-3.7608052,40.323761
23863,-3.7611877,40.3240024
21746,-3.7594801,40.3241622
21747,-3.7601066,40.3242027
23580,-3.735095,40.3074104
23559,-3.7383661,40.3074172
23526,-3.7343753,40.3074732
23558,-3.7369027,40.3074737
23571,-3.7364489,40.3075094
47363,-3.7347621,40.3075514
23562,-3.7386001,40.3078895
23563,-3.7385795,40.3079595
23566,-3.7383266,40.3080235
47362,-3.734185,40.3081791
25434,-3.7187189,40.3102828
25454,-3.7176903,40.310283
25435,-3.7186472,40.3102854
25436,-3.7183803,40.3102894
25437,-3.7180757,40.3102992
26109,-3.7178037,40.3103061
26104,-3.719416,40.3103817
25439,-3.7183928,40.3104682
25438,-3.7178903,40.3104807
25403,-3.7192211,40.3105935
31646,-3.7285308,40.3089598
31138,-3.730352,40.309059
31140,-3.731347,40.309606
4937,-3.7284447,40.3100437
586,-3.7305365,40.310402
32250,-3.72855,40.3108224
40623,-3.7263973,40.3109594
44663,-3.7282448,40.3112577
24355,-3.7285102,40.3120503
32251,-3.7278602,40.3122459
4904,-3.7164948,40.3099255
25399,-3.7171338,40.3100295
4948,-3.7160678,40.3114048
4957,-3.7160356,40.3116135
25400,-3.7173186,40.3116492
4947,-3.7170433,40.3116608
26111,-3.7170421,40.3118169
4900,-3.7166906,40.3119249
26112,-3.7165289,40.3120403
25404,-3.7172502,40.3121547
25405,-3.7189627,40.3108497
26110,-3.7179159,40.3109318
25401,-3.7188658,40.3109514
25402,-3.7185237,40.3110998
25449,-3.7182023,40.3112096
35022,-3.7186028,40.3114433
26107,-3.7181527,40.31173
26108,-3.7180353,40.3118136
25441,-3.7177738,40.3119329
4901,-3.7175784,40.312114
43875,-3.7275945,40.3123487
43059,-3.7270302,40.3125656
578,-3.7263358,40.3127793
26099,-3.7277402,40.3127921
26100,-3.7273864,40.3128093
32254,-3.7308574,40.3128646
26098,-3.7277082,40.3129202
26097,-3.7276533,40.3131802
32252,-3.7288163,40.313345
26095,-3.7269853,40.3139246
4954,-3.7178917,40.3121575
4951,-3.7177576,40.3122148
25453,-3.7206109,40.3122255
25452,-3.720627,40.312262
40617,-3.7202908,40.3131553
14695,-3.7203911,40.3136115
9404,-3.7199724,40.314008
32256,-3.71938,40.3153201
20436,-3.7176408,40.3155961
12183,-3.7177545,40.3163466
26521,-3.7211075,40.3123654
897,-3.7215601,40.3149836
41541,-3.7214792,40.3161437
9527,-3.7209567,40.3164912
31624,-3.725433,40.3166979
21681,-3.7233552,40.3172387
48864,-3.7228692,40.3175498
48863,-3.7229245,40.3175728
48857,-3.723455,40.3178914
48860,-3.7235417,40.3179388
26096,-3.7275778,40.3139759
48880,-3.7309811,40.3155348
12616,-3.7311804,40.3158348
12615,-3.7309551,40.3163011
33710,-3.7268981,40.3165632
13280,-3.7318309,40.3175244
13279,-3.7317263,40.3176532
18983,-3.7313011,40.3184245
35023,-3.726079,40.3196171
21685,-3.7267149,40.3199059
48861,-3.723715,40.3180389
48862,-3.7238374,40.3181009
48858,-3.7237241,40.3185337
48859,-3.723865,40.3185425
48865,-3.7243925,40.3188018
48866,-3.7246956,40.3190842
48867,-3.7252838,40.3193447
12142,-3.7240706,40.3208131
32253,-3.725235,40.3210001
26847,-3.7256216,40.323915
18985,-3.72904,40.3200585
18984,-3.7310892,40.3203489
21684,-3.7283502,40.3210517
46646,-3.7270562,40.3229248
35033,-3.7261752,40.323063
48873,-3.7292013,40.3258773
10479,-3.7300137,40.3260038
26165,-3.7295705,40.3263316
48874,-3.7287408,40.3263987
33369,-3.7305381,40.3270969
23569,-3.7384782,40.3083129
23567,-3.7385706,40.3084648
31649,-3.7362289,40.308898
585,-3.7330318,40.3091005
47361,-3.734161,40.3092468
47360,-3.7343182,40.3092596
4798,-3.7344078,40.3093658
47353,-3.7340568,40.3094591
47352,-3.7344322,40.3094681
47364,-3.7337953,40.3094755
47350,-3.7339828,40.3096076
47365,-3.7336024,40.3096264
54477,-3.7366964,40.3096541
47351,-3.733946,40.3096658
47366,-3.7335608,40.3096962
47367,-3.7335071,40.3097985
35019,-3.7337057,40.3101321
34680,-3.733848,40.3101497
1495,-3.7413075,40.3125974
2352,-3.7356711,40.3158644
2353,-3.735438,40.3161279
2355,-3.7352178,40.3163133
2047,-3.7339885,40.3164115
1936,-3.7345399,40.3165961
54528,-3.7332886,40.3166376
2356,-3.7328316,40.3167699
2354,-3.7346292,40.3170276
45264,-3.7378059,40.3182833
1931,-3.7376227,40.3204329
26742,-3.7397201,40.3215335
14337,-3.7564613,40.3193934
28763,-3.7530052,40.319964
23758,-3.7542462,40.3199668
23790,-3.7543328,40.3205412
23791,-3.7543581,40.3205638
28762,-3.752575,40.3205957
13359,-3.7528523,40.3207792
23785,-3.7547039,40.3209353
23862,-3.7529369,40.3210754
23895,-3.7560847,40.3211244
23861,-3.753433,40.3212857
28764,-3.7538839,40.3216707
54458,-3.7538862,40.3217903
1967,-3.7557595,40.3220824
14338,-3.7560329,40.322121
54459,-3.7539743,40.3221523
49061,-3.7562177,40.323755
1980,-3.7522033,40.3251848
23529,-3.7557243,40.3255993
20824,-3.7569264,40.3278298
35028,-3.7374638,40.3220141
43354,-3.7362991,40.3226098
39090,-3.7413517,40.3226286
20437,-3.7376085,40.3251436
4241,-3.7384855,40.3256776
584,-3.7376842,40.3268096
10477,-3.7332695,40.3269031
33371,-3.735755,40.326917
33376,-3.7364256,40.3270438
33375,-3.7365489,40.3274711
26963,-3.7453547,40.3199557
55411,-3.7481749,40.3200278
21956,-3.7425673,40.3266553
34338,-3.7440425,40.3277064
24562,-3.7451316,40.3299321
10546,-3.7427677,40.3302661
42678,-3.7507083,40.3315225
10547,-3.7461821,40.3322371
42500,-3.7462306,40.3324319
40850,-3.7511731,40.3327511
55872,-3.7528428,40.3280436
55871,-3.752764,40.3280677
24018,-3.7530296,40.328399
42340,-3.7573251,40.3284877
1087,-3.7547978,40.3288075
2129,-3.7570236,40.3288846
24130,-3.7528264,40.3288942
24131,-3.7528301,40.3290921
1259,-3.7542017,40.3291898
24132,-3.7528324,40.329215
40853,-3.7532678,40.3293215
24017,-3.7532526,40.3294503
24133,-3.7528375,40.3294871
42645,-3.7550752,40.3294912
42680,-3.7563968,40.3294966
24134,-3.7528388,40.3295576
49824,-3.7573949,40.329576
42339,-3.7556171,40.3296465
24135,-3.7528414,40.329697
24019,-3.7530453,40.3298664
33372,-3.7365463,40.3275325
33374,-3.7365516,40.3275693
33370,-3.7333035,40.3276879
33373,-3.7368252,40.3277758
10478,-3.733035,40.3281889
4815,-3.7327706,40.3285334
2685,-3.7401384,40.3323875
20823,-3.7413377,40.3326275
2720,-3.7417286,40.3328114
40256,-3.7387498,40.3330934
42646,-3.7552728,40.3299798
23531,-3.7543092,40.3300881
42643,-3.7574899,40.3300902
1400,-3.7534247,40.3303303
42644,-3.7575597,40.3303754
42338,-3.7564333,40.3304136
26520,-3.7537375,40.3306439
45030,-3.757477,40.3310411
45029,-3.7572785,40.3310666
42920,-3.7545769,40.3311382
23034,-3.7569749,40.3311816
42337,-3.7551807,40.3314256
1524,-3.7528198,40.3314823
27897,-3.7571265,40.3315106
40075,-3.7541057,40.3317673
44969,-3.7571456,40.3317774
44970,-3.757148,40.3321594
41683,-3.7525601,40.3323148
40076,-3.7547716,40.3324242
1900,-3.7518567,40.3326629
14909,-3.7615463,40.3320859
41684,-3.7588131,40.3321233
14910,-3.7615436,40.3321246
12656,-3.7615195,40.3321662
14907,-3.7614765,40.3322862
44968,-3.7579178,40.3324542
14912,-3.7616965,40.3327032
14911,-3.7616482,40.3327932
14905,-3.7616214,40.3328791
12655,-3.7615864,40.3330203
24404,-3.7542028,40.3328739
30535,-3.7555815,40.3329036
24403,-3.7541694,40.332958
24406,-3.7535421,40.3331336
924,-3.7531107,40.3331516
24322,-3.7550736,40.3331585
24402,-3.7541597,40.3331591
24323,-3.7548885,40.333164
24405,-3.7537014,40.333164
24751,-3.7518127,40.3332164
24752,-3.7517208,40.3332177
24753,-3.7516485,40.3332187
24754,-3.7515883,40.3332197
40848,-3.7517977,40.3332236
23727,-3.7557637,40.333233
24298,-3.7555458,40.3333254
43063,-3.7553904,40.3333386
24300,-3.754862,40.3333411
24301,-3.7546413,40.3333492
24630,-3.7532424,40.3333632
40849,-3.7512089,40.3329672
40852,-3.7507743,40.3334805
40260,-3.7434795,40.3341687
26197,-3.7492882,40.3343616
46314,-3.7502482,40.3344016
40255,-3.7494193,40.3345564
43110,-3.7487533,40.3351252
42676,-3.7510833,40.3351374
43111,-3.7484297,40.335173
40074,-3.7510842,40.335217
24299,-3.7550821,40.3334384
40851,-3.7512411,40.3334614
42677,-3.7515032,40.3343434
40073,-3.7556172,40.3352384
42681,-3.7552061,40.3352921
40072,-3.7552174,40.3353791
30534,-3.7552128,40.3354885
40071,-3.755195,40.3355606
26962,-3.7555894,40.3359673
30529,-3.7562497,40.3361166
44694,-3.7389015,40.3342446
31596,-3.7390444,40.3349599
34252,-3.7400013,40.3353114
42659,-3.7392063,40.3354049
23757,-3.7400715,40.3354433
37986,-3.7412961,40.3360583
41682,-3.737105,40.3360746
27078,-3.7408501,40.3361675
40624,-3.7405062,40.3362238
40615,-3.7405385,40.3362694
40259,-3.7496761,40.3354983
40214,-3.7451716,40.3356679
46765,-3.747857,40.3358707
44807,-3.7499566,40.3360568
42685,-3.7497213,40.3362132
51939,-3.7498382,40.3362875
51940,-3.7498462,40.3363355
51938,-3.7491663,40.3363728
51941,-3.7498395,40.3363897
51937,-3.7502834,40.3369877
40620,-3.7399766,40.3363058
