ID,Traffico,no_existing_chg,centroid_x,centroid_y,Colore
0,0.0,0,-3.85,40.3,lightcyan
1,0.0,0,-3.8448038475772934,40.309,lightcyan
2,0.0,0,-3.85,40.318,lightcyan
3,0.0,0,-3.8448038475772934,40.327,lightcyan
4,0.0,0,-3.85,40.336,lightcyan
5,0.0,0,-3.8448038475772934,40.345,lightcyan
6,0.0,0,-3.85,40.354,lightcyan
7,0.0,0,-3.8448038475772934,40.363,lightcyan
8,0.0,0,-3.85,40.372,lightcyan
9,0.0,0,-3.8448038475772934,40.381,lightcyan
10,0.0,0,-3.85,40.39,lightcyan
11,0.0,0,-3.8448038475772934,40.399,lightcyan
12,0.0,0,-3.85,40.408,lightcyan
13,0.0,0,-3.8448038475772934,40.417,lightcyan
14,0.0,0,-3.85,40.426,lightcyan
15,0.0,0,-3.8448038475772934,40.435,lightcyan
16,0.0,1,-3.85,40.444,lightcyan
17,0.0,0,-3.8448038475772934,40.453,lightcyan
18,0.0,0,-3.85,40.462,lightcyan
19,199.25951134995702,0,-3.8448038475772934,40.471000000000004,lightskyblue
20,0.0,0,-3.85,40.480000000000004,lightcyan
21,0.0,0,-3.8448038475772934,40.489000000000004,lightcyan
22,0.0,0,-3.85,40.498000000000005,lightcyan
23,0.0,0,-3.8448038475772934,40.507000000000005,lightcyan
24,0.0,0,-3.85,40.516000000000005,lightcyan
25,0.0,0,-3.8448038475772934,40.525000000000006,lightcyan
26,0.0,0,-3.85,40.534000000000006,lightcyan
27,0.0,0,-3.8448038475772934,40.543000000000006,lightcyan
28,0.0,0,-3.85,40.55200000000001,lightcyan
29,0.0,0,-3.8448038475772934,40.56100000000001,lightcyan
30,0.0,0,-3.85,40.57000000000001,lightcyan
31,0.0,0,-3.8448038475772934,40.57900000000001,lightcyan
32,0.0,0,-3.8396076951545868,40.3,lightcyan
33,0.0,0,-3.83441154273188,40.309,lightcyan
34,0.0,0,-3.8396076951545868,40.318,lightcyan
35,0.0,0,-3.83441154273188,40.327,lightcyan
36,0.0,0,-3.8396076951545868,40.336,lightcyan
37,0.0,0,-3.83441154273188,40.345,lightcyan
38,0.0,0,-3.8396076951545868,40.354,lightcyan
39,0.0,0,-3.83441154273188,40.363,lightcyan
40,0.0,0,-3.8396076951545868,40.372,lightcyan
41,0.0,0,-3.83441154273188,40.381,lightcyan
42,0.0,0,-3.8396076951545868,40.39,lightcyan
43,0.0,0,-3.83441154273188,40.399,lightcyan
44,0.0,0,-3.8396076951545868,40.408,lightcyan
45,0.0,0,-3.83441154273188,40.417,lightcyan
