,long,lat
1602,9.9633076,53.5472639
22443,9.9626227,53.5473692
33634,9.962675,53.5474904
22442,9.9626473,53.547515
28995,9.9626201,53.5475567
15094,9.9626136,53.5476014
22441,9.9625699,53.5476989
11980,9.9629175,53.5477965
11069,9.9659564,53.547232
18091,9.9656746,53.5473091
17566,9.9675715,53.5475894
1350,9.9658771,53.5476268
1351,9.9662536,53.5476394
367,9.9658498,53.5477452
17394,9.9651403,53.5477973
19438,9.9651273,53.5478955
6461,9.9658029,53.5479078
6456,9.9654724,53.5479311
20743,9.9615996,53.5469937
24800,9.9616492,53.5470141
19764,9.9612754,53.5471589
7384,9.9620028,53.5475386
34093,9.9617882,53.5475605
17209,9.9617641,53.5476878
30276,9.9597479,53.5477882
30185,9.9610591,53.5478906
7354,9.9602079,53.548165
7353,9.9603363,53.5481948
22435,9.9625152,53.547833
15253,9.9625365,53.5479178
15254,9.9625177,53.5480276
20741,9.9629194,53.5480807
22755,9.9631017,53.5480882
18847,9.9631813,53.5481164
22438,9.9628891,53.5481244
14183,9.9634128,53.5481339
19693,9.9635983,53.5481356
22756,9.9639087,53.5481358
20740,9.9629069,53.5481657
22437,9.9624902,53.548171
20745,9.9628533,53.5482432
22439,9.9624719,53.5482604
22436,9.9628696,53.5483004
18826,9.9628792,53.5483569
22440,9.9624472,53.548358
27879,9.9628359,53.5483612
18035,9.9628258,53.548461
18031,9.9629465,53.548472
2462,9.9575079,53.5477104
2475,9.9573012,53.547724
37137,9.9588826,53.5478217
20757,9.9572737,53.5479249
20708,9.9575978,53.5479779
11079,9.9566867,53.5480709
23017,9.9559785,53.5482812
33633,9.9592521,53.548345
5642,9.9563101,53.548607
13706,9.957897,53.549023
7350,9.9609387,53.5483459
9477,9.9611631,53.5483888
14022,9.959474,53.5484284
27478,9.96176,53.5484435
28341,9.9620381,53.5484611
21776,9.9594788,53.5484751
21775,9.9595342,53.5485214
27836,9.9611403,53.5485384
15900,9.9614832,53.5485472
18891,9.9613295,53.5485642
27217,9.9622362,53.5485665
18890,9.9611604,53.5485731
18889,9.9616166,53.5485884
21768,9.9596344,53.5486035
33506,9.9605189,53.5486407
154,9.960864,53.5486646
21766,9.9597016,53.5486781
7352,9.9605617,53.5487624
21764,9.9598093,53.5487629
33507,9.9611031,53.5487666
18032,9.9640167,53.5485183
20744,9.962411,53.5486309
20748,9.9624012,53.5487003
23467,9.9634871,53.5487052
20751,9.9640677,53.5487382
18033,9.9634226,53.5487603
20746,9.9623824,53.5487621
18034,9.9638651,53.5487714
11244,9.9647629,53.548828
20749,9.9623698,53.5488437
22931,9.942159,53.5466102
17878,9.9422539,53.5470671
2717,9.9424211,53.5471222
20411,9.942594,53.5471953
20412,9.9425729,53.5472015
31436,9.9420162,53.5472331
15148,9.9420002,53.5474577
15147,9.9420118,53.5474592
15146,9.9419978,53.5474637
7609,9.9452083,53.5470344
24116,9.9429286,53.5472053
7610,9.9452609,53.5472208
25957,9.9434383,53.5474288
25958,9.9434085,53.5474436
6323,9.9457925,53.5474692
36266,9.9429407,53.5475304
36265,9.9429817,53.5475487
21190,9.9430975,53.5477047
29621,9.9456755,53.5483571
15145,9.9420098,53.5474654
15149,9.941995,53.5474698
15143,9.9420077,53.547471
27884,9.9417128,53.5477991
29465,9.942224,53.5478605
24209,9.9422079,53.5478952
36267,9.9428886,53.5479086
19344,9.9427581,53.5479795
19343,9.9427581,53.5479795
19345,9.942742,53.5479843
19337,9.9419923,53.5481635
19338,9.9419389,53.5481638
19339,9.9418923,53.548183
19340,9.9419383,53.5481937
9248,9.9418805,53.5482154
19346,9.9420594,53.5482177
19347,9.9420369,53.5482373
5357,9.9427838,53.5482447
19348,9.9420114,53.5482618
5365,9.942784,53.5482648
19341,9.9418379,53.5482844
19342,9.9418686,53.5482891
19350,9.9419709,53.5483115
35805,9.9417055,53.5486593
35800,9.9416955,53.5486725
37144,9.9777051,53.5437503
17405,9.9789813,53.5439874
23834,9.9780468,53.5448825
25926,9.9794981,53.5452093
25920,9.9793842,53.5458951
25909,9.9793688,53.545905
14610,9.9782894,53.5460159
35898,9.9785518,53.5460365
35900,9.9780318,53.5460744
35901,9.978817,53.5462208
3222,9.9801104,53.5447864
3224,9.9802494,53.5448223
11987,9.9801636,53.5448264
3221,9.9800801,53.5448305
3223,9.9801971,53.5448665
25928,9.9795453,53.5450019
25929,9.9798562,53.545014
25927,9.9795267,53.5450299
25925,9.9795392,53.5452624
25924,9.9797892,53.5453687
33931,9.980864,53.5442853
23364,9.9818068,53.5444207
1082,9.982005,53.5445277
1081,9.9818735,53.5445332
1080,9.9817904,53.5445516
22550,9.9814142,53.5445554
1079,9.9816331,53.5445712
12946,9.9819517,53.5454733
25932,9.9808684,53.5457823
11339,9.9815246,53.5459217
25923,9.9797861,53.5456471
25922,9.9797586,53.5456553
25933,9.9806879,53.545862
25934,9.9806447,53.5458761
25921,9.9795805,53.5459131
7650,9.9806979,53.5463565
10975,9.9801005,53.547307
10968,9.9801003,53.5473124
10973,9.9801001,53.5473177
16483,9.9805855,53.5473645
35903,9.9788316,53.5462333
12820,9.9780678,53.5462774
35899,9.9790573,53.5463386
35902,9.9786738,53.546464
16129,9.9781791,53.5466446
3237,9.9789304,53.5467511
16130,9.9781894,53.5467742
30226,9.9789689,53.5468261
1343,9.9777055,53.5468286
3238,9.9788408,53.5468419
24759,9.978971,53.5468621
33408,9.9785047,53.5469005
25940,9.9779658,53.5469505
10977,9.9790296,53.54702
25142,9.9777094,53.5470554
33698,9.9784203,53.5470823
10976,9.9778988,53.547119
25914,9.9777675,53.5471286
29592,9.9780779,53.5472392
29593,9.9780783,53.5473198
541,9.981248,53.5459549
12479,9.9813126,53.5461894
25935,9.9809239,53.5462489
5680,9.9810482,53.5462959
35664,9.980855,53.5466426
10971,9.9813973,53.5470796
10967,9.9813967,53.547087
10970,9.981396,53.5470944
16675,9.9814283,53.5482869
25936,9.9819795,53.5483191
29597,9.9783641,53.5475765
29587,9.978387,53.5475767
29599,9.9784365,53.5475811
3198,9.97841,53.5475853
29598,9.9784782,53.5475903
29596,9.9784979,53.5475969
25939,9.97819,53.5476314
2661,9.9794956,53.5480241
11194,9.9790094,53.5480574
36802,9.9787876,53.5480899
35423,9.9800747,53.54766
17058,9.9802127,53.5478118
16677,9.97998,53.5478294
16676,9.9795402,53.5478724
16948,9.9796696,53.5479504
18085,9.9804079,53.5479704
118,9.9802931,53.5480236
30804,9.9802097,53.548062
18167,9.9801589,53.548082
18264,9.9800865,53.5480931
1412,9.9779081,53.5481753
15192,9.9787929,53.5481756
35825,9.9784111,53.5482752
14597,9.9784431,53.5482783
29590,9.9783436,53.5482863
9421,9.9779007,53.5483567
14598,9.9784652,53.5484084
14599,9.9785466,53.5484284
21430,9.9779077,53.5484654
29591,9.9783348,53.5484815
25919,9.97511,53.5454214
1393,9.9750737,53.545469
25918,9.9750974,53.545503
14416,9.9759587,53.5455709
17035,9.9750663,53.5456295
1405,9.9753488,53.5456541
16947,9.9759817,53.5456714
34618,9.97619,53.5456867
1402,9.97505,53.5457182
16949,9.9759629,53.5457369
7437,9.9703693,53.5455518
7436,9.9703645,53.545554
10556,9.9699067,53.5456447
27991,9.9687607,53.545671
20982,9.9690011,53.5456759
16568,9.9689653,53.5456884
18603,9.9688402,53.5456903
683,9.9700955,53.5457012
3504,9.9691505,53.545705
14591,9.9691995,53.545705
16128,9.9737444,53.5457442
1398,9.9732893,53.5457451
16127,9.9738953,53.5457617
18604,9.9739837,53.5457734
33341,9.9750109,53.5457741
23283,9.9740015,53.5457798
29827,9.9741127,53.5458005
1411,9.9742866,53.5458381
35170,9.9724377,53.5458418
24494,9.9745319,53.5458933
27990,9.9686611,53.5457083
23080,9.9682889,53.5457176
14595,9.9692483,53.5457243
18505,9.9705758,53.5458915
