count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
73778,2010,5,North West,85,Manchester,A6,Major,LA Boundary,A5079,387440,394000,53.44262026,-2.19055499,2.40,1.49,Estimated,Estimated using previous year's AADF on this link,348,175,18481,638,2948,272,52,42,44,33,54,497,22739
80714,2016,5,North West,85,Manchester,A6042,Major,A6,A57,382760,397720,53.47592369,-2.26121613,0.20,0.12,Estimated,Estimated using previous year's AADF on this link,150,236,26342,153,3129,410,92,151,36,72,44,806,30666
27974,2016,5,North West,85,Manchester,A34,Major,A56,LA Boundary,383400,398330,53.48142730,-2.25160608,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,287,66,4941,1021,736,90,22,8,1,2,0,123,6888
27992,2016,5,North West,85,Manchester,A56,Major,A6,A6,383780,398600,53.48386608,-2.24589414,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,242,59,11473,1202,1773,261,28,29,5,5,2,330,14836
28695,2016,5,North West,85,Manchester,A6,Major,A6010,A5184,386575,395867,53.45938013,-2.20365768,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,466,169,20474,646,2394,183,44,56,28,16,12,338,24021
37837,2016,5,North West,85,Manchester,A6010,Major,A34,Hamilton Rd,386500,395400,53.45518061,-2.20476700,0.70,0.43,Estimated,Estimated using previous year's AADF on this link,241,23,12679,115,2283,121,40,15,1,2,3,182,15281
37838,2016,5,North West,85,Manchester,A6010,Major,A665,A664,385000,400600,53.50187922,-2.22760597,1.20,0.75,Estimated,Estimated using previous year's AADF on this link,148,92,16000,178,2800,297,50,44,34,28,19,473,19543
48035,2016,5,North West,85,Manchester,A6042,Major,Fennel Street,A665,384100,398900,53.48657242,-2.24108728,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,164,35,5323,893,1041,98,28,17,0,0,2,145,7437
36046,2016,5,North West,85,Manchester,M56,Major,Thornley Lane Bridge,Outwood Lane roundabout,381450,385970,53.37026502,-2.28025708,0.60,0.37,Estimated,Estimated using previous year's AADF on this link,0,99,51196,329,4056,245,86,128,4,7,39,508,56188
26157,2010,5,North West,85,Manchester,A6,Major,A57,A57(M),384950,397300,53.47221621,-2.22820032,0.70,0.43,Counted,Manual count,283,224,19605,1223,2845,365,53,80,62,143,51,754,24651
16322,2018,5,North West,85,Manchester,A34,Major,A5145,A5079,386035,392000,53.42460600,-2.21161740,3.60,2.24,Estimated,Estimated using previous year's AADF on this link,251,169,20808,332,2475,136,21,24,6,8,20,216,24000
17717,2018,5,North West,85,Manchester,A6104,Major,A664,LA Boundary,388000,403426,53.52735600,-2.18248810,2.80,1.74,Estimated,Estimated using previous year's AADF on this link,112,57,10896,125,1756,140,28,28,12,68,43,320,13153
48035,2018,5,North West,85,Manchester,A6042,Major,Fennel Street,A665,384100,398900,53.48657100,-2.24108730,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,212,76,2826,256,365,58,9,11,2,3,0,83,3607
951810,2016,5,North West,85,Manchester,U,Minor,,,382797,392229,53.42656969,-2.26035637,,,Estimated,Estimated using previous year's AADF on this link,5,0,460,1,75,0,1,0,0,0,0,1,537
6069,2018,5,North West,85,Manchester,A57M,Major,A34,A6,384670,397400,53.47310500,-2.23242350,0.40,0.25,Counted,Manual count,0,211,37378,67,7324,680,191,276,61,252,361,1821,46801
7950,2018,5,North West,85,Manchester,A56,Major,A6143,A34,383470,397800,53.47666400,-2.25052320,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,525,84,8964,71,1674,139,18,13,6,3,4,182,10975
951807,2016,5,North West,85,Manchester,C,Minor,,,382034,388247,53.39075211,-2.27161042,,,Counted,Manual count,116,62,6118,19,1144,100,14,4,2,12,7,138,7480
7725,2018,5,North West,85,Manchester,A6010,Major,A62,A664,385924,400159,53.49794000,-2.21365610,0.90,0.56,Counted,Manual count,183,91,14216,143,2222,176,48,84,20,52,35,415,17086
26157,2016,5,North West,85,Manchester,A6,Major,A57,A57(M),384950,397300,53.47221621,-2.22820032,0.70,0.43,Estimated,Estimated using previous year's AADF on this link,295,223,21138,1203,3487,342,40,117,57,125,78,761,26812
73777,2016,5,North West,85,Manchester,A5145,Major,A34,LA Boundary,385648,390496,53.41107859,-2.21737209,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,140,115,18426,365,3868,234,64,23,22,8,14,366,23140
73792,2016,5,North West,85,Manchester,A57,Major,LA Boundary,A6143,382674,397675,53.47551638,-2.26250935,0.10,0.06,Counted,Dependent on a neighbouring counted link,291,232,31600,198,5618,574,162,243,66,255,177,1477,39126
99615,2016,5,North West,85,Manchester,M60,Major,20,LA Boundary,385700,404900,53.54054859,-2.21725088,1.90,1.18,Estimated,Estimated using previous year's AADF on this link,0,343,86842,134,17571,2393,433,630,226,663,2124,6468,111358
60078,2016,5,North West,85,Manchester,A6,Major,A6010,A6010,386750,395640,53.45734423,-2.20101242,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,281,149,17131,618,2249,178,31,30,11,15,20,285,20432
57427,2016,5,North West,85,Manchester,A664,Major,A6,A665,384300,398740,53.48514033,-2.23806518,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,104,37,6756,1248,796,101,10,1,4,2,1,120,8957
70163,2016,5,North West,85,Manchester,A6,Major,A62,A62,384560,398360,53.48173250,-2.23412822,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,75,13,3413,236,496,49,11,0,2,1,0,63,4221
27313,2018,5,North West,85,Manchester,A576,Major,A6104,M60,384000,404400,53.53600300,-2.24287710,1.00,0.62,Estimated,Estimated using previous year's AADF on this link,47,156,35936,210,5091,322,89,255,44,99,86,894,42287
27449,2018,5,North West,85,Manchester,A665,Major,A57,A635,385770,397000,53.46954100,-2.21583320,0.70,0.43,Estimated,Estimated using previous year's AADF on this link,116,56,14904,68,1402,775,20,27,24,7,8,862,17292
944414,2016,5,North West,85,Manchester,C,Minor,,,384169,403141,53.52469397,-2.24026313,,,Counted,Manual count,68,52,6487,54,732,55,16,3,1,12,2,89,7414
944431,2016,5,North West,85,Manchester,U,Minor,,,386760,394993,53.45152898,-2.20083434,,,Counted,Manual count,20,1,700,0,53,2,1,0,0,0,0,3,757
944463,2016,5,North West,85,Manchester,U,Minor,,,384412,397960,53.47813277,-2.23633836,,,Estimated,Estimated using previous year's AADF on this link,88,2,640,9,70,10,0,0,1,0,0,11,732
944480,2016,5,North West,85,Manchester,U,Minor,,,381620,393920,53.44172911,-2.27816831,,,Counted,Manual count,48,0,486,0,64,7,0,0,0,0,0,7,557
26059,2018,5,North West,85,Manchester,M60,Major,M60 spur,LA Boundary,383733,389634,53.40327300,-2.24613570,1.90,1.18,Counted,Automatic counter,0,230,64847,148,10921,975,305,357,86,233,1184,3141,79287
16536,2018,5,North West,85,Manchester,A56,Major,A34,A6,383704,398423,53.48227100,-2.24703010,0.30,0.19,Counted,Manual count,446,61,5104,493,788,84,7,6,7,2,4,110,6556
37809,2018,5,North West,85,Manchester,A5103,Major,A60/A5103(T),A5145,383000,391900,53.42361800,-2.25728350,1.00,0.62,Estimated,Estimated using previous year's AADF on this link,110,228,59888,470,6715,667,98,143,98,114,173,1293,68595
75236,2016,5,North West,85,Manchester,M60,Major,M60 spur,M60 spur,382250,390830,53.41397663,-2.26850884,0.90,0.56,Estimated,Estimated from nearby links,0,147,42862,50,7070,1065,179,287,79,176,675,2461,52590
56136,2016,5,North West,85,Manchester,A6,Major,A665,A57,385500,396773,53.46749489,-2.21988997,0.60,0.37,Estimated,Estimated using previous year's AADF on this link,166,55,9917,587,1626,313,33,83,8,9,9,456,12639
57390,2016,5,North West,85,Manchester,A635,Major,A6010,LA Boundary,390000,397330,53.47260709,-2.15212198,2.90,1.80,Estimated,Estimated using previous year's AADF on this link,179,262,17899,258,4234,451,104,149,43,77,67,892,23545
70157,2016,5,North West,85,Manchester,A6,Major,London Rd,Portland St,384550,398040,53.47885593,-2.23426304,0.50,0.31,Estimated,Estimated using previous year's AADF on this link,85,15,2160,556,245,14,12,0,0,1,0,27,3003
70158,2016,5,North West,85,Manchester,A6,Major,A62,Whitworth St,384670,397940,53.47796063,-2.23245003,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,157,31,8779,1855,1595,83,25,3,0,1,2,114,12373
27445,2018,5,North West,85,Manchester,A663,Major,LA Boundary,LA Boundary,388840,402000,53.51455800,-2.16976560,1.00,0.62,Estimated,Estimated using previous year's AADF on this link,85,51,13739,76,2298,222,52,61,44,116,81,576,16741
7857,2018,5,North West,85,Manchester,A665,Major,Pin Mill Brow,A662,385428,398000,53.47852000,-2.22103190,0.50,0.31,Counted,Manual count,196,191,29403,182,4011,337,89,70,33,118,83,730,34516
37859,2018,5,North West,85,Manchester,A6104,Major,A576,A664,385000,404060,53.53297700,-2.22777290,2.50,1.55,Counted,Manual count,70,61,9969,220,1276,74,18,27,7,7,14,147,11673
48019,2018,5,North West,85,Manchester,A34,Major,A57(M),A5103,384400,397400,53.47309700,-2.23649110,0.70,0.43,Estimated,Estimated using previous year's AADF on this link,211,78,6606,183,963,124,18,11,3,16,8,180,8010
28695,2018,5,North West,85,Manchester,A6,Major,A6010,A5184,386575,395867,53.45937900,-2.20365770,0.10,0.06,Counted,Manual count,648,141,19970,560,2193,134,29,27,5,11,11,218,23082
75243,2016,5,North West,85,Manchester,A57M,Major,A5103,A34,384300,397240,53.47165779,-2.23798964,0.50,0.31,Counted,Manual count,0,616,78384,267,12447,1250,288,506,75,289,646,3055,94769
