count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
27796,2014,5,North West,85,Manchester,A6010,Major,A5103,B5093,385000,394100,53.44345478,-2.22729323,1.70,1.06,Estimated,Estimated using previous year's AADF on this link,87,41,11632,177,1785,114,33,21,3,5,12,188,13823
18202,2014,5,North West,85,Manchester,A5103,Major,A34,A6,384268,398000,53.47848799,-2.23851006,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,602,100,9289,3351,1345,154,32,2,4,4,2,197,14282
75240,2021,5,North West,85,Manchester,A635,Major,Ashton Old Road,Pin Mill Brow,385600,397720,53.47600800,-2.21842740,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,52,101,13336,124,3561,309,94,113,23,47,199,785,17906
27797,2014,5,North West,85,Manchester,A6010,Major,A662,A62,386880,399000,53.48754851,-2.19919618,1.90,1.18,Estimated,Estimated using previous year's AADF on this link,213,123,22067,274,4167,430,177,159,40,78,72,955,27586
27974,2014,5,North West,85,Manchester,A34,Major,A56,LA Boundary,383400,398330,53.48142730,-2.25160608,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,84,49,6682,742,956,150,32,37,1,1,2,223,8651
6046,2014,5,North West,85,Manchester,M56,Major,4,LA Boundary,383600,388821,53.39596279,-2.24809353,1.00,0.62,Counted,Manual count,0,175,66222,453,11918,1451,335,296,257,828,2047,5214,83983
16544,2014,5,North West,85,Manchester,A57,Major,A6,A665,385500,397010,53.46962514,-2.21990099,0.50,0.31,Estimated,Estimated using previous year's AADF on this link,181,142,12546,911,1931,239,53,105,25,107,47,576,16107
18548,2014,5,North West,85,Manchester,A6042,Major,A34,A34,383820,398008,53.47854622,-2.24526065,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,327,87,4308,291,506,71,13,1,3,0,0,88,5279
6069,2014,5,North West,85,Manchester,A57M,Major,A34,A6,384670,397400,53.47310691,-2.23242347,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,0,793,41322,372,7962,2556,360,468,67,156,650,4256,54706
27980,2014,5,North West,85,Manchester,A665,Major,A6010,LA Boundary,384000,401400,53.50904018,-2.24272274,1.50,0.93,Estimated,Estimated using previous year's AADF on this link,165,60,13841,697,1939,260,37,20,12,23,25,376,16914
28246,2014,5,North West,85,Manchester,A6010,Major,B5117,A34,386000,395230,53.45363942,-2.21228894,0.80,0.50,Estimated,Estimated using previous year's AADF on this link,266,42,8926,128,1248,81,20,4,1,8,1,115,10459
8563,2014,5,North West,85,Manchester,A62,Major,A6,A665,384671,398413,53.48221216,-2.23245822,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,162,41,9032,236,1658,184,24,3,0,0,0,211,11177
27992,2014,5,North West,85,Manchester,A56,Major,A6,A6,383780,398600,53.48386608,-2.24589414,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,279,68,11077,1205,1548,271,28,27,4,6,2,338,14235
8464,2014,5,North West,85,Manchester,A56,Major,A6,A6041,383835,398772,53.48541378,-2.24507425,0.20,0.12,Estimated,Estimated using previous year's AADF on this link,376,133,10999,1095,1708,245,39,17,5,6,5,318,14253
27782,2014,5,North West,85,Manchester,A5184,Major,A34,A6,386150,396000,53.46056449,-2.21006435,1.60,0.99,Estimated,Estimated using previous year's AADF on this link,508,50,9584,141,882,92,12,16,1,2,0,122,10779
27975,2014,5,North West,85,Manchester,A34,Major,A56 Deansgate,LA Boundary,383150,398200,53.48025081,-2.25536615,0.50,0.31,Estimated,Estimated using previous year's AADF on this link,243,115,10779,107,1082,115,18,8,6,2,5,154,12237
6047,2014,5,North West,85,Manchester,M56,Major,5,4,381560,387149,53.38086632,-2.27867311,1.00,0.62,Counted,Manual count,0,268,114362,521,14985,2149,485,301,260,1233,3497,7926,138062
16536,2014,5,North West,85,Manchester,A56,Major,A34,A6,383704,398423,53.48227278,-2.24703015,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,381,82,7140,762,1309,239,22,4,1,3,4,273,9565
16589,2014,5,North West,85,Manchester,A62,Major,A6010,LA Boundary,386280,400000,53.49652144,-2.20828263,2.40,1.49,Counted,Manual count,331,217,21927,1024,3256,428,73,51,46,137,77,812,27234
6553,2014,5,North West,85,Manchester,A56,Major,A6042,LA Boundary,383330,400000,53.49643559,-2.25275018,1.40,0.87,Estimated,Estimated using previous year's AADF on this link,226,140,14551,265,2248,244,35,40,7,10,16,352,17555
28695,2014,5,North West,85,Manchester,A6,Major,A6010,A5184,386575,395867,53.45938013,-2.20365768,0.10,0.06,Counted,Manual count,538,170,20536,703,2084,185,42,51,22,19,12,331,23824
6069,2016,5,North West,85,Manchester,A57M,Major,A34,A6,384670,397400,53.47310691,-2.23242347,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,0,757,42079,319,9678,2672,397,545,87,140,649,4489,57322
26059,2014,5,North West,85,Manchester,M60,Major,M60 spur,LA Boundary,383733,389634,53.40327456,-2.24613566,1.90,1.18,Estimated,Estimated using previous year's AADF on this link,0,299,69138,97,11618,1075,293,416,116,573,524,2995,84148
37859,2014,5,North West,85,Manchester,A6104,Major,A576,A664,385000,404060,53.53297876,-2.22777289,2.50,1.55,Estimated,Estimated using previous year's AADF on this link,90,58,8892,420,1438,81,11,14,3,0,2,111,10920
38034,2014,5,North West,85,Manchester,A34,Major,A5103,A5103,383970,397800,53.47668126,-2.24298985,0.20,0.12,Estimated,Estimated using previous year's AADF on this link,702,95,6836,325,940,138,25,18,1,1,0,183,8379
38036,2014,5,North West,85,Manchester,A56,Major,A34 Quay St,A34 Bridge St,383580,398100,53.47936566,-2.24888166,0.30,0.19,Counted,Manual count,896,73,7683,238,1258,126,16,26,6,3,3,180,9432
37837,2014,5,North West,85,Manchester,A6010,Major,A34,Hamilton Rd,386500,395400,53.45518061,-2.20476700,0.70,0.43,Estimated,Estimated using previous year's AADF on this link,278,27,12242,115,1993,125,39,14,1,2,4,186,14561
26047,2014,5,North West,85,Manchester,M56,Major,4,3,381900,388200,53.39032504,-2.27362257,1.50,0.93,Counted,Manual count,0,350,134846,572,17090,2197,582,335,302,1039,3567,8023,160881
7713,2014,5,North West,85,Manchester,A5145,Major,A5103,A34,385000,390400,53.41019753,-2.22711570,3.40,2.11,Estimated,Estimated using previous year's AADF on this link,421,54,11561,1585,1351,176,29,10,2,1,1,219,14770
47322,2014,5,North West,85,Manchester,A576,Major,A665,A6044,383580,403000,53.52340842,-2.24914001,1.50,0.93,Estimated,Estimated using previous year's AADF on this link,68,149,19970,326,2797,277,47,38,18,47,29,456,23697
16044,2014,5,North West,85,Manchester,M56,Major,6,5,380725,386100,53.37140743,-2.29116114,1.50,0.93,Counted,Manual count,0,334,99178,316,16300,2001,376,321,341,1724,3270,8033,124160
26157,2014,5,North West,85,Manchester,A6,Major,A57,A57(M),384950,397300,53.47221621,-2.22820032,0.70,0.43,Counted,Manual count,340,225,21202,1309,3035,347,38,107,45,143,81,762,26533
37838,2014,5,North West,85,Manchester,A6010,Major,A665,A664,385000,400600,53.50187922,-2.22760597,1.20,0.75,Estimated,Estimated using previous year's AADF on this link,171,107,15448,178,2445,308,49,41,28,33,20,480,18658
36046,2014,5,North West,85,Manchester,M56,Major,Thornley Lane Bridge,Outwood Lane roundabout,381450,385970,53.37026502,-2.28025708,0.60,0.37,Estimated,Estimated using previous year's AADF on this link,0,104,50275,384,3337,234,77,110,3,7,39,472,54571
37809,2014,5,North West,85,Manchester,A5103,Major,A60/A5103(T),A5145,383000,391900,53.42361912,-2.25728355,1.00,0.62,Counted,Manual count,108,233,65275,648,6919,504,81,156,50,123,103,1017,74094
37943,2014,5,North West,85,Manchester,A662,Major,A665,A6010,386000,398470,53.48276181,-2.21243448,2.00,1.24,Counted,Manual count,152,30,9582,270,1516,179,28,40,18,42,14,321,11719
28486,2014,5,North West,85,Manchester,A34,Major,A5103,Mosley St,384110,397940,53.47794390,-2.24088764,0.20,0.12,Estimated,Estimated using previous year's AADF on this link,327,87,6432,376,862,105,32,9,3,0,0,149,7905
7428,2014,5,North West,85,Manchester,A665,Major,A6042,A6010,384311,400000,53.49646597,-2.23796286,1.20,0.75,Estimated,Estimated using previous year's AADF on this link,272,98,17503,321,1849,181,12,7,11,17,12,240,20011
36161,2014,5,North West,85,Manchester,A6,Major,A5184,A665,386000,396400,53.46415586,-2.21234147,1.10,0.68,Estimated,Estimated using previous year's AADF on this link,333,103,13988,872,2149,358,63,40,5,10,14,490,17603
37944,2014,5,North West,85,Manchester,A6010,Major,A635,A662,387250,398000,53.47856931,-2.19357908,0.80,0.50,Estimated,Estimated using previous year's AADF on this link,320,181,20963,239,4168,345,121,95,44,48,110,765,26314
6046,2016,5,North West,85,Manchester,M56,Major,4,LA Boundary,383600,388821,53.39596279,-2.24809353,1.00,0.62,Counted,Manual count,0,268,73318,440,13791,1425,454,362,276,1006,1846,5368,93185
36045,2014,5,North West,85,Manchester,M56,Major,3,2,382400,389000,53.39753283,-2.26614938,1.40,0.87,Estimated,Estimated using previous year's AADF on this link,0,109,50198,173,8967,984,251,182,136,392,1963,3907,63355
7701,2014,5,North West,85,Manchester,A5103,Major,M56,M60,382360,390350,53.40966590,-2.26682691,1.10,0.68,Counted,Manual count,1,408,96547,734,11680,1176,256,299,75,518,1089,3412,112782
36355,2014,5,North West,85,Manchester,A5079,Major,A34,A6,387020,395000,53.45159842,-2.19691959,1.60,0.99,Estimated,Estimated using previous year's AADF on this link,82,38,10198,129,1165,103,20,13,1,6,11,154,11684
7857,2014,5,North West,85,Manchester,A665,Major,Pin Mill Brow,A662,385428,398000,53.47852163,-2.22103190,0.50,0.31,Counted,Manual count,202,170,27051,329,3407,383,41,80,30,80,46,659,31615
17717,2014,5,North West,85,Manchester,A6104,Major,A664,LA Boundary,388000,403426,53.52735791,-2.18248812,2.80,1.74,Estimated,Estimated using previous year's AADF on this link,65,41,10465,116,2412,225,117,170,18,44,43,617,13651
7724,2014,5,North West,85,Manchester,A34,Major,A5079,A6010,386182,395000,53.45157693,-2.20953809,1.50,0.93,Estimated,Estimated using previous year's AADF on this link,439,163,15051,370,1179,87,46,20,5,1,2,161,16923
7922,2014,5,North West,85,Manchester,A6143,Major,A57,A56,383000,397837,53.47698319,-2.25760657,0.80,0.50,Estimated,Estimated using previous year's AADF on this link,238,75,4368,145,532,24,7,7,3,1,0,42,5162
17933,2014,5,North West,85,Manchester,A576,Major,A6044,A6104,383800,403800,53.53060592,-2.24586337,0.50,0.31,Counted,Manual count,105,209,35016,222,4098,360,75,142,28,56,52,715,40259
17935,2014,5,North West,85,Manchester,A665,Major,A6042,A6042,384130,399100,53.48837100,-2.24064536,0.20,0.12,Estimated,Estimated using previous year's AADF on this link,189,268,28621,395,3988,464,78,194,13,27,60,837,34108
47457,2014,5,North West,85,Manchester,A665,Major,A662,A62,385000,398380,53.48192509,-2.22749903,0.70,0.43,Estimated,Estimated using previous year's AADF on this link,212,242,24958,631,3443,415,83,75,28,75,60,735,30009
7950,2014,5,North West,85,Manchester,A56,Major,A6143,A34,383470,397800,53.47666569,-2.25052320,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,573,97,8816,84,1363,144,18,12,4,4,4,185,10545
7725,2014,5,North West,85,Manchester,A6010,Major,A62,A664,386030,400000,53.49651480,-2.21205108,0.90,0.56,Estimated,Estimated using previous year's AADF on this link,93,33,12703,179,2108,275,155,179,10,15,63,697,15719
17931,2014,5,North West,85,Manchester,A57,Major,A6010,LA Boundary,387800,396300,53.46330218,-2.18522535,3.10,1.93,Estimated,Estimated using previous year's AADF on this link,201,196,19511,519,3646,405,90,153,39,135,100,921,24795
7946,2014,5,North West,85,Manchester,A6,Major,A5079,A6010,386892,395446,53.45560406,-2.19886575,0.20,0.12,Counted,Manual count,599,193,17193,755,1726,203,34,46,22,20,17,342,20209
17822,2014,5,North West,85,Manchester,A6042,Major,A56,A665,384000,399200,53.48926587,-2.24260971,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,133,210,26042,85,3667,513,34,76,31,57,41,753,30757
17929,2014,5,North West,85,Manchester,A34,Major,Upper Brook St,A5103,384180,397400,53.47309231,-2.23980555,1.00,0.62,Estimated,Estimated using previous year's AADF on this link,524,79,7971,2661,951,97,20,9,0,1,3,129,11792
17936,2014,5,North West,85,Manchester,A6010,Major,A665,LA Boundary,384000,400429,53.50031253,-2.24267283,1.20,0.75,Estimated,Estimated using previous year's AADF on this link,47,92,9772,50,2159,232,37,79,5,12,13,377,12451
75241,2021,5,North West,85,Manchester,A665,Major,Ashton Old Road,Mancunian Way,385670,397700,53.47583000,-2.21737180,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,52,101,13336,124,3561,309,94,113,23,47,199,785,17906
75243,2021,5,North West,85,Manchester,A57M,Major,A5103,A34,384300,397240,53.47165600,-2.23798960,0.50,0.31,Estimated,Estimated using previous year's AADF on this link,0,239,57744,61,11095,878,216,467,100,441,435,2537,71676
16322,2014,5,North West,85,Manchester,A34,Major,A5145,A5079,386035,392000,53.42460771,-2.21161742,3.60,2.24,Estimated,Estimated using previous year's AADF on this link,177,244,23663,414,2675,200,59,27,17,16,19,337,27333
47456,2014,5,North West,85,Manchester,A664,Major,A6010,A6104,385800,403000,53.52347357,-2.21565505,3.70,2.30,Estimated,Estimated using previous year's AADF on this link,100,86,14377,579,1961,226,29,55,29,38,27,404,17408
17675,2014,5,North West,85,Manchester,A5103,Major,A5145,A6010,383647,393000,53.43352699,-2.24760504,2.20,1.37,Counted,Manual count,360,249,41794,613,4396,540,85,64,65,102,86,943,47994
36577,2014,5,North West,85,Manchester,A56,Major,A6041,A6042,383830,399020,53.48764273,-2.24516247,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,125,167,14884,194,2304,322,66,27,10,15,14,452,18002
46068,2014,5,North West,85,Manchester,A57M,Major,A57,A5103,383300,397160,53.47090774,-2.25305028,0.80,0.50,Counted,Manual count,0,390,56552,265,9286,1263,192,407,102,258,668,2889,69382
47799,2014,5,North West,85,Manchester,A6010,Major,A5145,A5103,382000,394000,53.44246138,-2.27245228,2.90,1.80,Estimated,Estimated using previous year's AADF on this link,428,49,11426,352,1353,140,22,7,5,4,1,179,13359
56136,2014,5,North West,85,Manchester,A6,Major,A665,A57,385500,396773,53.46749489,-2.21988997,0.60,0.37,Estimated,Estimated using previous year's AADF on this link,192,63,9575,588,1419,326,33,78,6,10,9,462,12107
46165,2014,5,North West,85,Manchester,A6,Major,A57(M),A6 Whitworth St,384730,397800,53.47670402,-2.23153914,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,244,73,14047,1160,1850,118,17,6,0,1,2,144,17274
46573,2014,5,North West,85,Manchester,A56,Major,A57(M),A6143,383330,397500,53.47396474,-2.25261651,0.60,0.37,Estimated,Estimated using previous year's AADF on this link,826,162,14297,186,2009,240,18,23,10,8,12,311,16965
46357,2014,5,North West,85,Manchester,A34,Major,LA Boundary,A5145,385350,390000,53.40661205,-2.22183184,1.10,0.68,Estimated,Estimated using previous year's AADF on this link,108,180,29642,251,3387,271,52,45,8,15,20,411,33871
7947,2014,5,North West,85,Manchester,A34,Major,A6042,A56,383700,398236,53.48059183,-2.24708065,0.20,0.12,Estimated,Estimated using previous year's AADF on this link,292,137,6395,945,880,72,14,1,3,1,0,91,8448
7948,2014,5,North West,85,Manchester,A34,Major,A6042,A56,383700,397945,53.47797622,-2.24706544,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,347,96,7940,171,1182,112,30,16,2,2,2,164,9552
70158,2014,5,North West,85,Manchester,A6,Major,A62,Whitworth St,384670,397940,53.47796063,-2.23245003,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,181,36,8476,1858,1392,87,25,3,0,1,2,117,11879
70153,2014,5,North West,85,Manchester,A6,Major,A62,A664,384400,398480,53.48280635,-2.23654519,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,165,22,2481,1144,344,46,11,7,3,1,0,68,4058
70271,2014,5,North West,85,Manchester,M56,Major,A560,A5103,382233,389300,53.40022373,-2.26867785,0.30,0.19,Estimated,Estimated from nearby links,0,326,77238,587,9344,941,205,239,60,414,871,2730,90225
56582,2014,5,North West,85,Manchester,A57,Major,A665,A6010,386950,396580,53.46579837,-2.19803980,1.30,0.81,Estimated,Estimated using previous year's AADF on this link,251,157,13964,494,2385,207,63,75,22,55,51,474,17474
60078,2014,5,North West,85,Manchester,A6,Major,A6010,A6010,386750,395640,53.45734423,-2.20101242,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,325,150,17183,673,1957,180,30,27,9,17,21,284,20247
56370,2014,5,North West,85,Manchester,A57,Major,A6143,A57(M),382800,397500,53.47394757,-2.26060135,0.30,0.19,Counted,Manual count,469,414,53307,310,7978,863,182,291,77,244,211,1867,63876
56493,2014,5,North West,85,Manchester,A34,Major,A6010,A5184,385380,396000,53.46054352,-2.22166135,1.70,1.06,Estimated,Estimated using previous year's AADF on this link,781,117,16229,420,1567,150,29,35,4,3,1,222,18556
70163,2014,5,North West,85,Manchester,A6,Major,A62,A62,384560,398360,53.48173250,-2.23412822,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,87,15,3295,236,433,51,11,0,2,1,0,64,4044
70165,2014,5,North West,85,Manchester,A57M,Major,A57(M),A56,382920,397360,53.47269314,-2.25878580,0.20,0.12,Estimated,Estimated from nearby links,0,331,42646,248,6383,691,145,233,62,195,169,1494,51101
56529,2014,5,North West,85,Manchester,A5103,Major,A34,A34,384060,397800,53.47668401,-2.24163384,0.20,0.12,Estimated,Estimated using previous year's AADF on this link,529,89,8430,1945,1184,202,21,4,4,4,2,237,11886
56487,2014,5,North West,85,Manchester,A34,Major,Mosley St,A6042,383900,398130,53.47964527,-2.24406156,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,314,67,7054,396,1080,143,18,1,2,1,0,165,8763
70155,2014,5,North West,85,Manchester,A62,Major,A6,Great Ancoat St,384620,398500,53.48299264,-2.23323102,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,76,23,2388,759,491,71,9,1,3,0,0,85,3747
48020,2014,5,North West,85,Manchester,A34,Major,A5184,Grosvenor St,384650,397050,53.46996039,-2.23270755,0.80,0.50,Estimated,Estimated using previous year's AADF on this link,395,161,17613,362,1848,164,33,43,9,9,10,268,20251
56492,2014,5,North West,85,Manchester,A62,Major,Addington St,A6010,385000,398930,53.48686869,-2.22752552,1.80,1.12,Estimated,Estimated using previous year's AADF on this link,262,137,15717,955,2839,366,64,35,15,48,42,571,20219
70157,2014,5,North West,85,Manchester,A6,Major,London Rd,Portland St,384550,398040,53.47885593,-2.23426304,0.50,0.31,Estimated,Estimated using previous year's AADF on this link,98,17,2086,557,214,15,12,0,0,1,0,28,2901
48035,2014,5,North West,85,Manchester,A6042,Major,Fennel Street,A665,384100,398900,53.48657242,-2.24108728,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,189,41,5139,895,909,102,28,16,0,0,2,147,7131
57427,2014,5,North West,85,Manchester,A664,Major,A6,A665,384300,398740,53.48514033,-2.23806518,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,121,43,6523,1251,695,105,10,1,3,2,1,123,8635
38649,2014,5,North West,85,Manchester,A62,Major,A6,A6,384586,398306,53.48124790,-2.23373377,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,278,164,9787,173,1704,228,34,14,3,2,2,283,12111
48019,2014,5,North West,85,Manchester,A34,Major,A57(M),A5103,384400,397400,53.47309892,-2.23649115,0.70,0.43,Estimated,Estimated using previous year's AADF on this link,230,91,6497,217,784,128,17,10,2,19,8,185,7773
57603,2014,5,North West,85,Manchester,A6010,Major,B5093,B5117,385332,395000,53.45155377,-2.22233727,1.10,0.68,Estimated,Estimated using previous year's AADF on this link,1608,53,9885,1690,1271,200,26,7,5,1,1,241,13140
57700,2014,5,North West,85,Manchester,A5103,Major,A57(M),A34,383620,397500,53.47397390,-2.24824744,1.00,0.62,Counted,Manual count,515,161,13799,525,1625,115,13,9,4,6,5,153,16263
70272,2014,5,North West,85,Manchester,A57M,Major,A6,A635,385000,397480,53.47383556,-2.22745572,0.30,0.19,Estimated,Estimated from nearby links,0,237,29984,66,5431,631,121,187,38,78,339,1394,37112
6047,2016,5,North West,85,Manchester,M56,Major,5,4,381560,387149,53.38086632,-2.27867311,1.00,0.62,Counted,Manual count,0,341,119050,461,14253,3077,405,458,299,1703,2662,8603,142708
70273,2014,5,North West,85,Manchester,A635,Major,A57(M),Fairfield St,385290,397450,53.47357415,-2.22308524,0.50,0.31,Estimated,Estimated using previous year's AADF on this link,2,296,37480,82,6788,788,152,234,47,97,424,1743,46390
57496,2014,5,North West,85,Manchester,A665,Major,A6,A57,385720,396800,53.46774363,-2.21657724,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,169,123,13121,183,2598,249,64,50,14,54,22,454,16479
73772,2014,5,North West,85,Manchester,A560,Major,M56,LA Boundary,383490,388500,53.39307403,-2.24973082,1.10,0.68,Estimated,Estimated using previous year's AADF on this link,57,32,4905,116,736,77,24,9,2,3,31,146,5933
57390,2014,5,North West,85,Manchester,A635,Major,A6010,LA Boundary,390000,397330,53.47260709,-2.15212198,2.90,1.80,Estimated,Estimated using previous year's AADF on this link,207,263,17953,281,3685,458,100,135,34,88,69,885,23068
75239,2014,5,North West,85,Manchester,A635,Major,Mancunian Way,Chancellor Lane,385650,397640,53.47529196,-2.21767036,0.20,0.12,Estimated,Estimated using previous year's AADF on this link,188,124,16231,271,3696,376,86,184,53,86,214,999,21322
75243,2014,5,North West,85,Manchester,A57M,Major,A5103,A34,384300,397240,53.47165779,-2.23798964,0.50,0.31,Counted,Manual count,0,469,73890,297,9503,1243,286,448,78,141,822,3017,87176
73269,2014,5,North West,85,Manchester,M56,Major,LA Boundary,6,380000,384730,53.35906611,-2.30197035,1.40,0.87,Counted,Manual count,0,270,100851,342,13236,1957,463,261,270,962,3762,7674,122374
75236,2014,5,North West,85,Manchester,M60,Major,M60 spur,M60 spur,382250,390830,53.41397663,-2.26850884,0.90,0.56,Estimated,Estimated from nearby links,0,179,41483,58,6971,645,176,249,70,344,314,1797,50489
75238,2014,5,North West,85,Manchester,M60,Major,M60 main route,A5103,382750,390830,53.41399333,-2.26098658,1.00,0.62,Estimated,Estimated from nearby links,0,75,17285,24,2904,269,73,104,29,143,131,749,21037
73780,2014,5,North West,85,Manchester,A662,Major,A6010,LA Boundary,388000,398490,53.48299141,-2.18229740,1.90,1.18,Estimated,Estimated using previous year's AADF on this link,104,67,8188,258,1329,103,18,41,5,24,14,206,10047
75248,2014,5,North West,85,Manchester,A664,Major,Swan St,Addington St,384470,398900,53.48658355,-2.23551130,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,214,156,17491,1453,2263,331,36,65,10,36,25,502,21866
75245,2021,5,North West,85,Manchester,A5103,Major,Princess Rd,Mancunian Way roundabout,383899,397097,53.47035900,-2.24402330,0.60,0.37,Estimated,Estimated using previous year's AADF on this link,8,56,11943,10,2279,233,47,137,20,25,104,565,14852
75246,2021,5,North West,85,Manchester,A665,Major,Oldham Rd,Rochdale Rd,384550,398770,53.48541600,-2.23429920,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,244,90,11696,39,1947,198,47,31,10,16,28,330,14103
73794,2014,5,North West,85,Manchester,A5145,Major,LA Boundary,A6010,380784,394095,53.44327208,-2.29076445,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,623,180,21858,342,2978,272,36,20,10,8,4,350,25708
75235,2014,5,North West,85,Manchester,A5103,Major,M60 spur,M60 spur/A5103,382450,390730,53.41308452,-2.26549433,0.80,0.50,Counted,Manual count,1,178,41288,373,4019,341,89,79,55,113,92,769,46627
75246,2014,5,North West,85,Manchester,A665,Major,Oldham Rd,Rochdale Rd,384550,398770,53.48541743,-2.23429923,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,142,85,12347,484,2543,253,49,41,5,16,17,380,15838
57780,2014,5,North West,85,Manchester,A5145,Major,A6010,A5103,382000,393060,53.43401228,-2.27239818,3.10,1.93,Estimated,Estimated using previous year's AADF on this link,409,105,18255,336,2170,120,54,12,10,4,12,212,21078
75245,2014,5,North West,85,Manchester,A5103,Major,Princess Rd,Mancunian Way roundabout,383899,397097,53.47036026,-2.24402330,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,69,149,20670,369,3027,268,81,86,17,66,87,605,24820
75247,2014,5,North West,85,Manchester,A665,Major,Rochdale Rd,Oldham Rd,384600,398860,53.48622786,-2.23355019,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,57,58,10285,38,1411,222,21,28,6,10,25,313,12106
48339,2014,5,North West,85,Manchester,A560,Major,M56,M56,382582,389073,53.39819506,-2.26341639,0.90,0.56,Estimated,Estimated using previous year's AADF on this link,116,105,21274,512,3961,521,230,145,33,110,97,1136,26987
75237,2014,5,North West,85,Manchester,M60,Major,M60 main route,A5103,382250,390750,53.41325756,-2.26850431,0.80,0.50,Estimated,Estimated from nearby links,0,178,57841,92,7698,1125,319,262,79,274,1470,3530,69339
75244,2014,5,North West,85,Manchester,A57M,Major,Princess Rd,Mancunian Way roundabout,383900,397090,53.47029737,-2.24400787,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,0,321,45768,140,7643,882,344,351,48,150,648,2423,56294
75242,2014,5,North West,85,Manchester,A34,Major,Grosvenor St,A57 (M) mid-junction,384500,397250,53.47175364,-2.23497715,0.10,0.06,Estimated,Estimated from nearby links,197,80,8806,181,924,82,16,22,5,4,5,134,10125
73268,2014,5,North West,85,Manchester,A538,Major,M56,LA Boundary,380770,384660,53.35846564,-2.29039671,2.00,1.24,Estimated,Estimated using previous year's AADF on this link,61,119,24780,167,3164,240,61,38,43,54,49,486,28716
75249,2014,5,North West,85,Manchester,A62,Major,Swan St,Addington St,384700,398750,53.48524208,-2.23203778,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,247,237,24316,1200,3281,422,112,67,25,71,50,748,29781
73795,2014,5,North West,85,Manchester,M60,Major,LA Boundary,M60 spur,381750,390870,53.41431901,-2.27603343,0.60,0.37,Counted,Dependent on a neighbouring counted link,0,324,105165,168,13996,2046,580,476,143,499,2673,6417,126070
944418,2014,5,North West,85,Manchester,C,Minor,,,380750,388832,53.39596483,-2.29095292,,,Counted,Manual count,80,31,4135,64,560,42,10,0,0,0,0,52,4842
77866,2014,5,North West,85,Manchester,A538,Major,M56 mid-junction,M56 spur roundabout,380450,385090,53.36231889,-2.29523143,0.20,0.12,Estimated,Estimated from nearby links,68,132,27506,185,3512,266,68,42,48,60,55,539,31874
944408,2014,5,North West,85,Manchester,B5167,Minor,,,383057,390353,53.40971585,-2.25634210,,,Counted,Manual count,273,63,13167,381,1354,299,43,5,1,0,0,347,15313
70154,2014,5,North West,85,Manchester,A62,Major,A6,A6,384470,398320,53.48137030,-2.23548239,0.20,0.12,Estimated,Estimated using previous year's AADF on this link,76,23,2388,759,491,71,9,1,3,0,0,85,3747
80714,2014,5,North West,85,Manchester,A6042,Major,A6,A57,382760,397720,53.47592369,-2.26121613,0.20,0.12,Estimated,Estimated using previous year's AADF on this link,67,126,18895,38,2596,274,63,162,7,40,37,583,22238
99015,2014,5,North West,85,Manchester,A6010,Major,A6,A57,386960,396000,53.46058534,-2.19786490,1.00,0.62,Estimated,Estimated using previous year's AADF on this link,112,52,14174,209,2645,246,60,43,3,8,13,372,17452
